"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Türk Telekom İnternet Servis Çalışanları Altyapıyı Bozdu","07 Temmuz 14:22","282","7030842698 hesap numaralı internetimiz için arıza kaydı oluşturduk gelen teknik ekip eve ait bağlantıları tamamen bozdu ertesi gün sinyalden anlayan bir kişi getireceklerini söylediler ama ne gelen oldu ne de aradığımızda ulaşabildiğimiz birisi 4620452453 numarası ile arıza kaydı oluşturduk ve altya","...","#İnternet"
"Türk Telekom İşim Acil Hakkımı Helal Etmiyorum","07 Temmuz 14:15","151","Tüm apartmanın ev interneti var ama bizim yok. Defalarca aramamıza rağmen hiçbir şey yapılmadı. KPSS çalışıyorum. Sınava burada ne kaldı mağdur ediliyorum. Hakkımı helal etmiyorum. Elektrikçi geldi. Belki bağlantıda sıkıntı vardır diye ama hiçbir sıkıntı yoktu. Ekip yollayıp bakmaları lazımdı. En ya","...","#İnternet"
"Türk Telekom Altyapılı Eve Altyapı Yok Diyor","07 Temmuz 14:07","788","Altyapı olan yere sistemlerini güncellemedikleri için 4 aydır internet başvurumu bekliyorum. Daha önce internet kullandığım ve şu an insanların internet kullanmaya devam ettiği adresime internet başvurusu yaptım. Bina içi portlarınız dolu olduğu için altyapı gözükmeyebilir denildi. İnternet port dol","...","#İnternet"
"Türk Telekom Pişman Ediyor","07 Temmuz 14:07","127","Türk Telekom firması hız artırımı ile yeni dönem taahhüdü oluşturduk. Ancak hızda bir değişiklik söz konusu değil. Her aradığımda arıza var daha sonra arayın deniliyor. Biz almadığımız hizmete para vermek durumunda değiliz. Kullanmadığımız internet ücretini iade ediniz. Gerekli sorunlarımız için biz","...","#İnternet"
"Türk Telekom Hattı Taşıdım Fatura Kesiyor","07 Temmuz 14:01","203","","","#Hat Taşıma"
"Türk Telekom Yanlış Eksik Bilgi Vererek Paket Satıyor. Çözüm Sunmuyor.","07 Temmuz 14:00","264","Türk Telekom tarafından eksik yanlış bilgi verilmek suretiyle aldatıldım. Türk Telekom bir kampanya tanıttı ve ben de kabul ettim. Ardından internetim kesildi. Türk Telekom yanlış bilgi verdiğini kabul etti. Ama paketi iptal edemeyeceğini. İptal ederse ceza ödemem gerektiğini söyledi. Ben yanlış bil","...","#İnternet"
"TTNET İki Fatura Alıyor","07 Temmuz 13:53","237","TTNET taahhüt bitme süresinde interneti yükseltip yeni tarifeye geçtik. Ancak onlar iki hesap olarak eskisini açtık tutup değişmeyen modem üzerinden iki fatura tahsil ediyorlar. Bununla ilgili görüşünce de eğer hesap kapatırsanız hesap kapatma cezası olacak diyorlar. Çözüm önermiyorlar ve aynı inter","...","#İnternet"
"Türk Telekom Verdiği Tarihten Önce Hattı Kesiyor","07 Temmuz 13:53","170","Türk Telekom faturasını ödemeyi unuttuğumda bir mesaj geliyor. Şu şu tarihlerde ödemezseniz hattınızı keseriz diye. 05/07 ile 09/07 tarihleri arasında ödeme yapılmazsa kesilecek diye bir mesaj atmışlar. Ama 06/07'de hemen kestiler. Madem ayın 9'una kadar beklemeyeceksen niye böyle bir tarih veriyors","...","#Fatura ödeme"
"Türk Telekom'dan Bir Aydır İnternet Alamıyorum","07 Temmuz 13:45","221","Türk Telekom internet kullanıcısıyım. Yaklaşık bir aydan fazla internet yok. Ben yine fatura ödüyorum. Komşulardan rica ile internet kullanıyorum.  Artık muhatap da bulamıyorum. Sesli yanıt sistemi ile arıza devam ediyor deyip telefonu kapatıyor. Arada da SMS ile sorunun devam ettiğini iletiyorlar.","...","#İnternet"
"Türk Telekom Kurumsal Sözleşme Bitimi","07 Temmuz 13:38","147","Türk Telekom kurumsal müşterisiyiz, taahhüt öncesinde ödediğimiz rakam 725 TL iken gecen ay 1675 TL' sonrasındaki ay ise 2680 TL olarak faturalandırılmıştır. Sözleşmenin bittiğine dair de SMS gönderildiği söylense de ilgili bilgilendirme SMS ini bulamadım. Konuyu Tüketici Hakları'na gerekirse mahkem","...",""
"Türk Telekom İnternet Arızası İçin Hiçbir Şey Yapmıyor.","07 Temmuz 13:38","117","Türk Telekom internetim arızalı. Arıza kaydı bıraktım bir haftadır ne gelen bir ekip var ne de çözüm var. Telefonla müşteri hizmetlerini aradığımda bir muhatap bulamıyorum. Çalışmalarımız devam etmektedir diye otomatik bir yanıt geliyor. Kimseye ulaşmak mümkün değil. Acil olarak arızanın giderilmesi","...","#İnternet"
"Türk Telekom Mükerrer Fatura Tahsilatı","07 Temmuz 13:37","416","729,50 TL tutarındaki mobil hattıma ait fatura 1 gün ara ile otomatik ödeme talimatına istinaden vadesiz hesabımdan 2 kez tahsil edilmiş. Defalarca ve","...","#Fatura ödeme"
"Türk Telekom Telekom Evde İnternet","07 Temmuz 13:31","192","Yaklaşık 1 yıla yakın süredir sıkıntı yaşıyoruz. 17.06.2024'te arıza kaydı açıldı, bugün 7.07.2024 ve hiçbir düzelme yok, hiçbir şekilde ulaşamıyorum. Komşularımın arıza kaydına geri dönüş yapılıyor fakat bize yok, mağdur ediliyoruz. Oğlumun online derslerinde çok sıkıntı yaşıyoruz ve hizmet alamama","...","#İnternet"
"Türk Telekom Otomatik Ödeme Talimatı İle İki Defa Faturayı Çekti.","07 Temmuz 13:30","655","Türk Telekom otomatik ödeme talimatında aynı faturayı iki defa çekti. Arıyorum, bankanızla görüşün diyorsunuz. Banka ise gelen e-postada Türk Telekom'un sorumlu olduğunu ve ödemeleri geri onların yapacağını belirtmiş. Size kendi sitenizden oluşturduğum şikayette gereksiz yazılar yazıp sorunu çözmedi","...","#Fatura ödeme"
"Türk Telekom Şebeke Sorunu Yaşıyorum","07 Temmuz 13:30","894","Mobil hattım 2 gündür çekmiyor. Aramalar kesiliyor. Mobil internetim kesiliyor. Müşteri hizmetlerine ulaşamıyorum. İllallah ettim gerçekten yazık. Taahhüt yenilemek için 100 kere arayan firmaya bir turlu ulaşamadım inanılmaz! Taahhüt doneminde sağ olsunlar tercih sebebi olmayacaklarını gösterdiler","","#Faturalı Paketler"
"Türk Telekom İnternet Sorunu Hakkında","07 Temmuz 13:23","170","Türk Telekom İnternet 1 günden fazladır yok. Diğer binalarda olduğu halde neden bulunduğumuz binada hizmet alamadığımızı anlamıyorum. Sorunu öğrenmek için müşteri hizmetlerini aradığımda otomatik yanıtla bugün saat 12:00 da çözüleceğini söylüyordu ancak hala çözümlenen bir sorun yok.","","#İnternet"
"Türk Telekom Kopma Ve Hız Sorunu.","07 Temmuz 13:22","632","10mbps internet paketini satın aldığımdan beri 7mbps'yi geçtiğim hiç olmadı, doğru düzgün video bile izleyemiyorum, kullanamadığım internete boş yere para ödüyorum. Teknik servisi aradığımda da bizde sorun gözükmüyor deyip sadece bağlantı yeniliyorlar. Diyorum ki teknik servisiniz gelsin kontrol ets","...","#İnternet"
"Türk Telekom Tivibu TRT Yayını!","07 Temmuz 13:16","113","","",""
"Türk Telekom İnternet Bağlantı Sorunu Ve Yetersiz Müşteri Hizmeti","07 Temmuz 13:08","214","Türk Telekom müşterisiyim. Modemin ışıkları yanıyor olmasına rağmen interneti kullanamıyoruz ve kısıtlanmış Wi-Fi ekranına yönlendirme yapıyor. Müşteri hizmetlerine ulaşmak asla mümkün değil, talep oluşturuldu diyor ancak bir gelişme yok. Çözüm aşamasıyla ilgili bilgilendirme yapılmıyor.","","#İnternet"
"Türk Telekom Arıza İle İlgilenmeme","07 Temmuz 13:07","150","26 Haziran 2024 saat 13:54'te internet arıza bildirimi yapmıştım fakat o tarihten itibaren internetimi kullanamıyorum. Müşteri hizmetlerine bağlanmıyorum, telesekretere yönlendiriliyorum ve bilgi alamıyorum. Arızanın en kısa sürede giderilmesini istiyorum.","","#Altyapı Sorgulama"
"Tivibu Ve TTNET'te Bitmeyen Sorunlar: Müşteri Hizmetleri Yetersiz","07 Temmuz 13:00","320","Bir aydır Tivibu ve TTNET internet sorun yaşıyoruz. Müşteri hizmetlerine zor bağlanıyoruz ve sorun giderilmesi. Bir haftadır Tivibu kendiliğinden kapanıyor. 120 saniye sonra açılıyor ve bu durum 15 dakika bir tekrarlanıyor. Kumanda tuşları fav, menü gibi kullanılmıyor sadece ses ve program aktif müş","...","#İnternet"
"Türk Telekom'un 4 Günlük İnternet Kesintisi KPSS Hazırlığımı Aksatıyor!","07 Temmuz 13:00","600","Türk Telekom 4 gündür genel arıza nedeniyle internet bağlantısı yok. Arıyoruz açan yok Sınav sürecindeyim KPSS sınavına sayılı günler kala, internet kesintisi yüzünden derslerim yarım kalıyor. Her aradığımda sesli yanıt, internet gün içinde gelir diyor ama 4 gündür internet yok Zamanımdan giden 4 gü","...","#İnternet"
"Türk Telekom Yüksek Fatura Ve İlgisizlik","07 Temmuz 12:53","307","1 hafta oldu. Türk Telekom'a taşınalı faturamın üzerinde bir tutar belirmiş. Müşteri hizmetlerini arıyorum, hiçbir şekilde ulaşım sağlanmıyor. Karşınızda muhatabınız bile yok. Bu kadar ilgisizlik olmaz, yani hem tutar yüksek hem de sebebini öğrenemiyoruz. Yüksek faturanın en azından açıklama yapılma","...","#Fatura ödeme"
"Çözülemeyen Türk Telekom Altyapı Sorunu","07 Temmuz 12:53","314","İzmir iline bağlı Menemen ilçesinin merkezinde bir apartmanda yaşıyorum. 11 dairesi dolu fakat hala altyapı yok denilerek Türk Telekom tarafından internet aboneliği yapıp kullanamıyoruz. 6 ay önce başvuru yaptık ama hala bir sonuç yok. Şehir merkezinde bir binaya altyapı sağlayamayan Türk Telekom' d","...","#İnternet"
"Türk Telekom Evde İnternet Cezalandırıyor","07 Temmuz 12:33","267","Türk Telekom evde interneti 2 ay kullandım, başka bir aboneye geçtim, uygun olsun diye 1558 lira fatura geldi. Avantaj cayma bedeli vs. Eklemişler. Yapılan haksızlıktır. Almadığım hizmetin faturası. Tuz kokmuş, kime nereye müracaat edilsin.","","#Hat Devir"
"Türk Telekom Teknik Servis İlgisizliği","07 Temmuz 12:26","440","Bodrum Gümüşlük'teki yazlık evimizin internet bağlantısını aktif etmek için iki sefer teknik servis için randevu oluşturduk, iki hafta oldu. Gelen bir ekip olmadı, telefon ile bir çözüm olmuyor. Sorunumuz çözülmüyor. Acilen dönüş yapılmasını rica ediyorum.","","#İnternet"
"TTNET Bağlantı Sıkıntısı İnternet Çekmiyor","07 Temmuz 12:25","202","TTNET son bir aydır düzgün çekmiyordu, şimdi de bağlantı kesilmiş. Kablo bağlantıları düzgün, verdiğimiz para boşuna gidiyor. Bir an önce çözülmesini talep ediyorum. Geri dönüş yapılırsa sevinirim. İstanbul Sultanbeyli'den yazıyorum. Kolay gelsin, iyi günler dilerim.","","#İnternet"
"Türk Telekom İnternet Yok Günlerdir","07 Temmuz 12:19","200","02.07.2024 saat 11:24'ten beri internet erişimi yok. Bina genelinde sorun yaşıyoruz. Kazı çalışması sonrası kablo kopması var denildi, hâlâ herhangi bir işlem yapılmıyor. Home office çalışıyorum. Beni salı gününden beri mağdur ediyorsunuz. Acil olarak ekibinizi yönlendirip bu arızayı lütfen yaptırın","...","#İnternet"
"Türk Telekom Bir Aydır Gideremediği Arıza İçin 947,24 TL Faturası","07 Temmuz 12:19","678","Türk Telekom evde internet hattımdaki arızayı 4622889603 numaralı şikayet kaydı ile 3 Haziran 2024 tarihinde müşteri hizmetlerine bildirdim. 7 Temmuz 2024 tarihine kadar arızayı gideremediler. Sadece çalışmalarımız sürüyor içerikli SMS yolladılar. Bu esnada taahhüt sürem doldu ve ben de arıza gideri","...","#İnternet"
"Türk Telekom İki Kez Kesilen Fatura Tahsilatı","07 Temmuz 12:12","221","İki kez fatura tahsilatı Otomatik ödemede olan mobil faturamı iki kez tahsil etmişler. Müşteri hizmetlerini aradım, 3 iş günü içinde geri ödeyeceklerini söylediler. An itibarıyla 3 iş günü oldu fakat ödenmedi. Bankayı arıyorum, sizin gibi birçok kişi arıyor, sistemsel bir arıza nasıl çözülür bilmiyo","...","#Fatura ödeme"
"Türk Telekom GSM Vericisi Arızalı","07 Temmuz 12:06","184","Antalya/Kaş/Sinneli Mahallesi. Baz istasyonu çekimi hiç yok. İlgili birimlere ilettik sorunumuzu ama hiç ilgilenen yok. Şu an ise tamamen arızalı, hiç çekmiyor. Biz tüketiciler olarak mağduriyetimizin giderilmesini talep ediyoruz. Mahalle sakinleri olarak herkes durumdan şikayetçi ve rahatsız. Abone","...",""
"Türk Telekom Sınırsız Sosyal Medya Paketi Sorunu Ve Müşteri Hizmetleri Deneyimi","07 Temmuz 12:06","935","Sabah saatlerinde Türk Telekom uygulamasından Sınırsız Sosyal Medya paketi aldım. Pakete Instagram dahil iken, Türk Telekom uygulamasına girdiğim zaman kendi internetimin harcandığını gördüm. Müşteri hizmetlerini aradım ve 'Pakete Reels videoları dahil değildir' diye bir cevap aldım. Daha üst bir ma","...","#Sosyal Medya Paketi"
"Türk Telekom Neden Diğer Operatörlere Zulüm Ediyor?!","07 Temmuz 11:59","517","Türk Telekom sen bilinçli olarak mı diğer operatörlerin altyapılarına kaliteli hizmet vermiyorsun yoksa bu senin hizmet kaliten mi?! Yazlık evime ilk olarak Türk Telekom yazlık İnternet ile aboneliğim başladı. Her yıl 2 ay sorunsuz kullandım. Yazdık internet kampanyası bitince fiyat avantajı var","...","#İnternet"
"Türk Telekom İnternet Arızasının Giderilmemesi","07 Temmuz 11:52","204","Türk Telekom evde internet kullanıyorum. 10 Haziran 2024 tarihinden beri internetimi kablolu olarak kullanırken kablosuz olarak kullanamıyorum. Modemi kapatıp açtığımda kısa süreli düzeliyor sonra tekrar aynı. Müşteri hizmetleri genel arıza diye geçiştiriyor ve çözüm sunmuyor. Kullanamadığım interne","...","#İnternet"
"Türk Telekom Fazla Fatura Ödemesi","07 Temmuz 11:52","231","Temmuz 2024 ayı faturamı otomatik talimat olduğu için Türk Telekom'a iki kere ödendi. Bankayı aradım Türk Telekom'la görüşün dediler. Türk Telekom'da bankayla görüşün dediler. Muhatap bulamıyorum. Sorunu nasıl çözeceğim acaba. Olan vatandaşa oluyor. Parasına oluyor","","#Fatura ödeme"
"","07 Temmuz 11:13","211","","",""
"Türk Telekom 2 Ayrı Taahhüt Saçmalığı","07 Temmuz 10:23","268","Türk Telekom iki ayrı taahhüt çıkıyor. İki ayrı fatura ödemek zorunda kalıyorum. Böyle bir saçmalığı ilk defa bu operatörde gördüm. Üzerime iki hat var, diğerinde aynı sorunu yaşadım. Farklı operatöre geçtim, bu hattımda da gereği yapılmazsa taşıyacağım. İnsanları fazla para almak için mağdur etmeni","...","#Fatura ödeme"
"Türk Telekom İnternet Aşım Bilgilendirilmedi","07 Temmuz 10:10","423","Türk Telekom mobil müşterisiyim. İnternet kullanım hakkım bitmeden hemen önce bilgilendirilmem gerekirken hiçbir şekilde mesaj almadım yalnızca bittiği belirtilen bir mesaj geldi ve harici kullanım faturama yansıtıldı. Sil Süpür kampanyasından 4 GB sosyal medya hakkımı kullanmak istedim ve yine fatu","...","#İnternet"
"Türk Telekom Mobil İnternet Hızının Çok Düşük Olması","07 Temmuz 09:58","684","Türk Telekom mobil hat internetinin yaşadığım Mersin Çamlıyayla Fakılar köyünde çok yavaş. Telefon çekmediği için değil, çünkü telefon full çekiyor ve 4.5G ile ancak muhtemelen internet hızı düşük ayarlanmış. Burası tatilcilerin yoğun olduğu bir yer, kalabalık arttıkça internetin hızı iyice düşüyor.","...","#İnternet"
"Türk Telekom Ödenmek İstenmeyen İade Bedeli!","07 Temmuz 09:58","394","Yazlık internet çift tahsilat. Yılda iki defa ödeme ile tahsilat yapılan bu sistemde, Türk Telekom ilkel bir yazılım ile tahsilatı takip ettiği için kredi kartımdan fatura tarihinden önce yapmış olduğum bu ödemeyi 1.520 TL'yi ayrıca otomatik vermiş olduğum talimatı aktif olduğu için bir de oradan te","...","#Fatura ödeme"
"Türk Telekom Asla Telefon Çekmiyor!","07 Temmuz 09:28","121","Tarife fiyatlarından kaynaklı Türk Telekom'a geçmek zorunda kaldım fakat o kadar kötü ki bir tane 10 saniyelik videoyu hiç abartısız en az 3 dakikada izleyebiliyorum. Önce kötü çekiyordu, evet ama şimdi daha da kötü olmuş. Taahhüdüm olduğu için operatör değiştiremiyorum, çok pişmanım Türk Telekom'a","...","#Sim"
"Türk Telekom Ev İnternet Sorunu","07 Temmuz 09:10","641","Yaklaşık 1 aydır Türk Telekom ev internetini kullanamıyoruz. İnternet sürekli kopuyor DSL hatası veriyor. Müşteri hizmetleri ile de defalarca görüşme sağladık ve arıza kaydı oluşturuldu fakat sorun hala devam ediyor, fatura bildirim mesajlarında sorun yok ama düzenli iletiliyor fatura mesajları. İve","...","#İnternet"
"Türk Telekom Teknolojiye Takla Attırıyor","07 Temmuz 07:19","603","Hattımı Türk Telekom'a taşıdım. Dijital Kurye kartı teslim etmek için geldi. Kimliğimi verdim, cep telefonuma onay mesajı geldiğini söyledim. Daha sonra kurye, kimlikteki resme benzemeniz lazım deyip telefonu bana verdi. Yüz tanıma yapacaklarmış, şaşırdım, denedim ama olmuyor. Ben bile kendimi zor t","...",""
"Türk Telekom İnternet Hiç Çekmiyor, Bağlattığıma Pişmanım!","07 Temmuz 05:02","152","Ben hayatım boyunca bu kadar umursamaz bir internet daha görmedim. En kısa zamanda iptal ettirip bir daha da Türk Telekom kullanmayacağım. Avantaya fatura ödetiyorlar. Çekim gücü en düşük internet Türk Telekom. Müşteri hizmetleri umursamıyor bile, bağlanması en az 1 saat sürüyor. Böyle internete yaz","...","#İnternet"
"Türk Telekom Hat Geçiş İşlemi Mağdurluğu","07 Temmuz 03:57","420","28 Haziran öğle saatlerinde beni arayan müşteri temsilcisi arkadaş faturasız hat kullandığım için bir teklifle geldi. Faturalı hatta geçtiğiniz takdirde 400 kusur olan fiyatın 12 aylık taahhütlü 200 ₺ olacağını Duran tarife 15GB 1000 dakika tarzı bir pakete geçebileceğimi söyledi ve bende onayladım.","...",""
"TTNET Özel Mülke Saldırı Ve Zarar","07 Temmuz 03:24","374","Türk Telekom TTNET her gün geldiğimde oturduğum binada bir yerleri deliyor kablolar çekiyor zaten fiber kutusu binanın girişinde var tek tek bütün dairelerin önlerine duvarları delerek kanallar koyarak pislik lerini de öyle bırakarak her gün özel mülküm olan binamda işlem yapıyorlar yasal olarak hiç","...","#İnternet"
"Türk Telekom Mobil İnternet Hep Sorunlu","07 Temmuz 02:56","554","İnternet bağlantısı hep sıkıntılı. 4,5 g zaten hiç çalışmıyor, 3G ise İstanbul içinde bile sıkıntılı. Yurt dışına çok çıkarım Macaristan ve Bulgaristan'da hattım hiç çalışmadı. Bu sorunlara çözüm bulunmayacaksa ben numaramı başka operatöre taşıyacağım.","","#İnternet"
"Türk Telekom Evde İnternet Bağlantı Sorunu","07 Temmuz 02:45","353","1843107459 abonesi olarak, Kaç yıldır evde internetini kullanıyoruz ama maalesef son 1 yıldır bağlantı problemi yüzünden kullanamıyoruz demek daha doğru olacak. İnternete bağlantısında sürekli problem var. Modeme her baktığımda İnternet ışığı sıkıntılı, kablolu da kablosuz da kullansak bir türlü bağ","...","#İnternet"
"Türk Telekom Uygulaması Açılmıyor Ve İnternet Çekmiyor","07 Temmuz 02:33","336","Türk Telekom müşteri temsilcisine ulaşamıyoruz. Bir de o kadar para ödüyoruz, yazık vallahi. İnternet desen zaten çekmiyor, 8 saat güncelleme mi olur? Bana öyle söyleniyor. Uygulamasına da giriş yapamıyoruz, ekran açılmıyor. Böyle kalıyor. Ben anlamadım. Bu ne saçma sistem, 10 aydır bu böyle.","","#İnternet"
"Türk Telekom Bağlantı Sorunu Yardım Yok","07 Temmuz 02:22","280","Türk Telekom internet sorunu yaşıyorum. Bu 2. oluyor. Birincide modemi değiştirdiler. Mağdur oldum. Şimdi yine internet çekmiyor. Müşteri temsilcisini arıyorum, o da şu an bakamıyoruz, bizim sistemde de sıkıntı var diyor. Kardeşim, sıkıntı sıkıntı sıkıntı. Kullanamayacaksam bu interneti niye para öd","...","#İnternet"
"Türk Telekom Aynı Doneme İki Fatura Çıkarılmış","07 Temmuz 02:15","305","Türk Telekom 0541********25 numaralı hattım için aynı doneme ait 2 fatura çıkarmış. Otomatik ödemede olduğu için bankada hem 1 temmuzda hem de 2 temmuzda aynı faturayı iki defa ödemiş. Paramın geri iade edilmesini talep ediyorum. Aksi takdirde Tüketici Hakem Heyeti'ne müracaat edeceğim.","","#Fatura ödeme"
"Türk Telekom Taahhüt Sonrası Fahiş Fatura Kesiyor","07 Temmuz 02:03","293","Türk Telekom mobil hatlarımızın taahhüdünün bittiğini tarafımıza bildirmeyip taahhütsüz kullanım için faturamızı 20 katı fazlası ile faturalandırdı. Konu ile ilgili müşteri hizmetlerini aradığımızda şikayetimi almadı ve 289 TL'lik faturayı 4609 TL olarak ödemekten başka seçeneğimiz olmadığını söyled","...","#Fatura ödeme"
"Türk Telekom Yılların Müşterisine Verilen Tarife Fiyatı!","07 Temmuz 01:57","1.138","Türk Telekom hattım ile Özgür Prime Limitsiz Sosyal tarifesini kullanmaktayım. İçeriği yurt içinde geçerli 40 GB internete ek olarak Instagram, Twitter, Youtube.com ve Facebook'ta geçerli sınırsız internet, ilk ay 30 GB hediye internet, Türk Telekom'lularla sınırsız konuşma, diğer operatörlerle 2000","...","#Prime"
"Türk Telekom Müşteri Hizmetlerine Bağlanamama Ulaşamama Sorunu","07 Temmuz 01:25","16.773","Türk Telekom müşteri hizmetlerine ulaşamıyorum. Bir hafta önce hattımı taşıyarak Türk Telekom sim kartı aldım. Aldığım günden beri internete bağlanma sorunu yaşıyorum. Yavaşlığını hiç söylemiyorum bile, 4.5G servisi çalışmıyor, ekranda sürekli 3G yazıyor. Müşteri hizmetlerine ulaşıp durumu anlatmak","...","#İnternet"
"Türk Telekom 1 Aydır Devam Eden Arızaya Fatura Geldi","07 Temmuz 01:19","296","Merhaba, 8853595212 abone numaralı internetinizi 1 ay önce bağlattım. Bağlandığından itibaren 5 dakikada bir kopmalar yaşanıyor ve kullanamıyorum. 1 aydır arıza kaydım devam ediyor. Evimde 1 adet PTT'nin modemi olmak üzere 2 adet modemim mevcut. İkisinde de aynı arıza olduğu halde gelen ekip bu mod","...","#Fatura ödeme"
"Türk Telekom Mobil Yalova Armutlu'da Çekmiyor!","07 Temmuz 01:19","119","Yalova Armutlu'da yıllardır mobil İnternetim çekmiyor. Burada genel bir çekme sorunu var. Daha önce de kaç kere aradım durumu ilettim ama yok çözüm bulunmuyor. Tam bir işkence haline geldi. Ödediğim bedelin hizmetini alamıyorum. Yeter artık bir çözüm bulun. Orada çekmiyor bir cevap değil. Çekmiyorsa","...",""
"Türk Telekom'un Fatura Oyunu","07 Temmuz 01:13","449","2 ay önce Türk Telekom tarafından aranıp vergiler dahil 256 TL karşılığında taahhüt vermeme rağmen 2 aydır 330 TL fatura ödüyorum. Görüştüğüm müşteri temsilcisine özellikle 256 TL ise kabul ediyorum. Demiştim ve evet efendim faturanız 256 TL olacaktır diye cevap aldım. Sosyal destek indirimi için ev","...","#Faturalı Paketler"
"Türk Telekom Yeni Nesil Modem Ve İnternet Eve Uygun Değil","07 Temmuz 01:12","406","Türk Telekom yeni nesil fiber modem evde çekmiyor. Merhaba, binaya yeni hat çekildi, modem değişti fakat eski internetimi arıyorum. Yeni modem 85 m2 evin hiçbir yerinde düzgün çekmiyor. Sorunun çözümü için TTNET destek hattını aradım, bana güçlendirici almamı öneriyorlar. Sorun çözülmezse mobil hatl","...","#Modem"
"Türk Telekom Yaklaşık 7 Günlük Anlamsız Ve Sebepsiz İnternet Kesintisi","07 Temmuz 00:59","722","Yaklaşık 1 haftadır binamızda internet yok. Her aradığımda tahmini onarım saatini 12 saat öteleyerek geri dönüş yapıyorlar. Örneğin sabah 11 de aradığımda akşam 22.00a kadar çözüleceğini söylüyorlar. Aynı günün akşamı saat 23.00 da aradığımda ise 12 saat öteleyerek sabah 10.00da düzeleceğini söylüyo","...","#İnternet"
"Türk Telekom Arıza İle İlgili Şikayet Bildirme","07 Temmuz 00:52","315","2024 yılı Temmuz ayının 4'ünden beri internet yok. Bugün ayın 7'si ve 3 gündür internet yok. Bu nasıl bir durum? Aradığımızda arıza var diyorlar. Bu nasıl bir arızadır ki üç gün sürüyor? Arayınca geçiştiriliyor. Güncelleme var, arıza var deniyor. Bu nasıl bir sorumsuzluk? Neden ilgilenilmiyor? Arıza","...","#İnternet"
"Türk Telekom Fatura Tahsilatı İki Kez Fatura Tahsilatı Yaptı","07 Temmuz 00:51","356","Türk Telekom mobil hattımda fatura otomatik ödeme talimatı vardı. Banka hesabımdan iki kez fatura tahsilatı yapılmış. İadesini istediğim halde iadesi yapılmadı ama bir gün geç ödeme yapılsa faiz alıyorlar. Taahhüt zamanının bitmesini bekliyorum. Operatör değiştirmek için.","","#Fatura ödeme"
"Türk Telekom Online Üzerinden Başvurduğumuz Sim Kart Bozuk Geldi","07 Temmuz 00:51","738","Türk Telekom'a online üzerinden taşıma gerçekleştirdik. Gelen sim kart bozuk geldi. Farklı telefonlarda denedik şebeke gidiyor bazen geliyor. Türk Telekom müşteri hizmetlerini aramamıza rağmen bir türlü inandıramıyoruz ve yardımcı olunmuyor. Daha numara taşıyalı 2 3 gün oldu ve Türk Telekom da sorun","...","#Sim"
"Türk Telekom Müşteri Hizmetlerine Bağlanamıyorum.","07 Temmuz 00:51","11.687","Türk Telekom Müşteri temsilcisiyle görüşmek için 4441444 numarasını arıyorum. Müşteri temsilcisine bağlanmak mümkün değil. Sürekli robot konuşuyor. Bir insan evladı ile görüşebilsek derdimizi anlatabilsek ne iyi olacak. Müşteri temsilcisinin beni aramasını rica ediyorum. Fatura tutarımdaki farkla il","...","#Fatura ödeme"
"Türk Telekom Arıza Kaydı Oluşturamamak","07 Temmuz 00:45","307","Türk Telekom internet kullanıcısıyım. Gün boyu internetim gelmedi, fatura borcum yok. Müşteri hizmetlerini arıyorum, 24 saat hizmet verdiklerini beyan ediyorlar fakat 4. kezdir arıyorum, sistemde çalışmamız olduğundan arıza kaydınızı alamıyoruz dediler. Ayrıca her aramada sekreter ile tuşlama işlemi","...","#İnternet"
"Türk Telekom Kalitesiz Müşteri Hizmetleri","07 Temmuz 00:38","109","06.07.2024 saat 13.30'dan 07.07.2024 saat 2'ye kadar sürekli telefondayız, sürekli 'technical difficulties' deyip yüzümüze kapanıyor. Yeter ya. Bu kadar pahalı ve kötü hizmet. Uluslararası işimiz mahvoldu. Sosyal medya hesaplarınıza bile sürekli yazıyoruz, DM'den yardım istiyoruz fakat oyalıyorsunuz","...","#İnternet"
"Türk Telekom'un İlgisizliği Ve Umursamazlığı","07 Temmuz 00:31","257","Türk Telekom TTNET internetim 1 haftadır yok. Her gün saçma sapan SMS atıp duruyorlar. Hiçbir şekilde bilgi vermiyorlar. Teknik desteğe bile bağlamıyorlar, otomatik bayanı bir türlü aşamıyorum. 48 saat içinde çözüm olacak diye SMS geliyor ama bir türlü çözülmüyor.","","#İnternet"
"Türk Telekom Nakil İşlemini Yapamıyorum","07 Temmuz 00:13","393","Konu: Nakil işlemi. Samsun Çarşamba Sungur Mahallesi Pınar Geçidi adresimden ikamet etmiştim, şimdiki adresim Samsun Çarşamba Sarıcalı Mahallesi Meserret Sokak No: 14 Kat: 2 Daire: 4 adresine taşındım. İnternet nakil işlemi yapamıyorum. Müşteri hizmetlerini aradım, altyapı çalışması var diyorlar. Tü","...","#Altyapı Sorgulama"
"Türk Telekom Faturam Habersiz Artırıldı","07 Temmuz 00:00","258","Aralık 2023 de 220 TL'ye 12 aylık taahhütle aldığım Türk Telekom paketim son 2 aydır 300 TL'ye çıkartıldı. Türk Telekom müşteri hizmetlerinden konu ile ilgili herhangi bir bilgilendirme alamıyorum çünkü hat beni bir temsilciye bağlamıyor. Faturamın neden 300 TL'ye çıkartıldığını en kısa sürede öğren","...","#Fatura ödeme"
