"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button","sv-model-button href","large-view src"
"Superonline İnternet Bağlantı Problemi","https://www.sikayetvar.com/superonline/superonline-internet-baglanti-problemi-641","Ayşe","03 Mart 16:29","268","Superonline ile sürekli bağlantı problemi yaşıyoruz. Sürekli bir kesinti meydana geliyor. Geçen hafta 23-25 Şubat aralığında ve bu hafta da dün ile bugün bağlantı problemi devam ediyor. Eylül ayında hizmeti almıştım ancak internet gerçekten çok kötü; sürekli müşteri hizmetleriyle iletişime geçiyoruz","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline Kesinlikle Abonelik Taşınmaması Gerek","https://www.sikayetvar.com/superonline/turkcell-superonline-kesinlikle-abonelik-tasinmamasi-gerek","Ayşe","03 Mart 16:17","1.838","Uzun süredir Vodafone ev interneti kullanıyorum. Depremden önce kesintiler sebebiyle modem değiştirilecekti. Ancak sonrasında unutuldu ve değiştirilmedi. Superonline'ın 2 ay ücretsiz seçeneği ile aboneliğimi yenilemek ve internet sorunumu çözmek istedim. 28.02'de internet üzerinden yaptığım başvuruy","...","","","https://files.sikayetvar.com/complaint/2806/28060029/turkcell-superonline-kesinlikle-abonelik-tasinmamasi-gerek-1_350x350.jpg"
"Superonline Şikayet Verdikleri Sözleri Tutamayan Kotu Bir Firma","https://www.sikayetvar.com/superonline/superonline-sikayet-verdikleri-sozleri-tutamayan-kotu-bir-firma","Selahattin","03 Mart 16:03","262","Turkcell Superonline'dan almış olduğum internetle ilgili çok büyük yanıltıcı bilgilerle karşılaştım. Konu, ücret karşılığında almış olduğum internetin arıza yapması. Çalışmadı ve teknik servisi aradım. Uzaktan bağlantı yoluyla yaptıkları incelemede modemin arızalı olduğunu ve değiştirilmesi gerektiğ","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline İnternet Kesintisi Ve Müşteri Temsilcisi Sorunu","https://www.sikayetvar.com/superonline/superonline-internet-kesintisi-ve-musteri-temsilcisi-sorunu","Nursel","03 Mart 15:57","357","Superonline 'da sürekli internet kesintisi yaşıyoruz aradığım takdirde hiçbir şekilde müşteri temsilcisi ile muhatap olamıyorum Bilgisayardan bir ses kaydı dinletilip kapatılıyor. Nasıl ulaşacağız asla bilmiyoruz. Evde mütemadiyen internet yok TV yok ve muhatap alanda yok.","","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"","","Onur","03 Mart 15:50","414","","","","",""
"Turkcell Superonline Kurulum İşlemimi Yarıda Bıraktı","https://www.sikayetvar.com/superonline/turkcell-superonline-kurulum-islemimi-yarida-birakti","Hardware","03 Mart 15:44","778","Turkcell Superonline başvuru tarihimden birkaç gün sonra, 17 Şubat tarihinde internetimi bağlamak için randevu istediler. Sabah 9:30'da gelmesi gereken ekip, 10'u geçiyordu geldiler. Daire içerisine fiber kabloyu çektiler fakat 1.kattan zemine inemediler, bunun için başka ekip gelecek dediler. Aynı","...","","","https://files.sikayetvar.com/complaint/2805/28059808/turkcell-superonline-kurulum-islemimi-yarida-birakti-1_350x350.jpg"
"Superonline Müşteri İle İlgilenmeyen Satış Görevlisi.","https://www.sikayetvar.com/superonline/superonline-musteri-ile-ilgilenmeyen-satis-gorevlisi","Hasan","03 Mart 15:44","242","Evime gelen Turkcell Superonline görevlisi sözleşmemim bulunduğu operatörden caymam durumunda cayma bedelinin karşılanacağını söyledi. Aboneliğimin başlatılması sonrası cayma bedelinin yansıtıldığı faturayı kendisine gönderdiğim halde bana dönüş yapmadı. Aramalarıma cevap vermedi mesajlarıma cevap y","...","","",""
"","","Zeynal","03 Mart 14:22","294","","","","",""
"Turkcell Kendi Kendine Bozulan Modemin Değiştirilmesi İçin Ben 300 TL Ödedim","https://www.sikayetvar.com/superonline/turkcell-kendi-kendine-bozulan-modemin-degistirilmesi-icin-ben-300-tl-odedim","Efe","03 Mart 14:14","1.472","Turkcell Superonline modemim evde kendi kendine, ben evde değilken, mesai saatleri içerisinde bozuldu. (Modemin hiçbir ışığı yanmıyordu elektrik kesilmiş gibi, ancak adaptörü çalışıyor, priz de de sorun yok.) akşam geldiğimde fark ettiğim için, teknik servis çalışmadığı için ertesi güne kaldı. Tek","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Superonline Nakil İşlemlerini Uzatıyor.","https://www.sikayetvar.com/superonline/superonline-nakil-islemlerini-uzatiyor","Sümeyra","03 Mart 14:08","346","Taşınma işlemi sonrası internet nakil için sürekli oyalıyorlar. Bir aydır olmayan internet için fatura ödüyoruz. 1 Şubat'ta aynı binada başka bir dair","...","","",""
"Superonline Benim Anlaştığımdan Farklı Ücret Çıkardılar Şikayet","https://www.sikayetvar.com/superonline/superonline-benim-anlastigimdan-farkli-ucret-cikardilar-sikayet","Yurdagül","03 Mart 14:07","319","Eve internet hizmeti almak istedim. Superonline ile iletişime geçip fiyatlar hakkında bilgi aldım, bana uygun fiyatlar sunduklarını ve indirim yaptıklarını belirttiler. 230 TL gibi bir ücreti kabul ettim ancak bana ek bilgiler verilmedi. Onaylamamın ardından kurulum için geldiklerinde, bilgilendirme","...","","","https://files.sikayetvar.com/complaint/2805/28059179/superonline-benim-anlastigimdan-farkli-ucret-cikardilar-sikayet-1_350x350.jpg"
"Turkcell Superonline Hizmetlerinde Süregelen Bağlantı Sorunları","https://www.sikayetvar.com/superonline/turkcell-superonline-hizmetlerinde-suregelen-baglanti-sorunlari","Hasan","03 Mart 12:52","180","Turkcell Superonline fiber ve TV Plus evimde kullanıyorum. 100 MBS hızında ancak hiçbir şekilde randıman alamıyorum. 1 yıldır devam ediyor. Müşteri hizmetlerini aradığımda kendilerince çözdüklerini belirtiyorlar. Ertesi gün baktığımda aynı sıkıntım devam ediyor. Müşteri hizmetlerini arayıp servis yö","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Mağdurum Gereği Yapılması","https://www.sikayetvar.com/superonline/superonline-magdurum-geregi-yapilmasi","Ali","03 Mart 12:07","281","29 Şubat 2024 tarihinde Superonline tarafından arandım. Anadolu FCM Yetkili Servisi adına T****** A******* isimli takım lideri ile görüşmüş ve aylık 360 TL olan tarifemi 280 TL'ye indirmek konusunda anlaşmıştık. Ancak tarifem 360 TL olarak yansıtılmaya devam ediyor. Bu kişiye iki gündür ulaşmaya çal","...","","","https://files.sikayetvar.com/complaint/2805/28058239/superonline-magdurum-geregi-yapilmasi-2_350x350.jpg"
"Superonline Faturası Kabaran Müşteri: İstenmeyen Gameplus Hizmet Bedeli İadesi Talebi","https://www.sikayetvar.com/superonline/superonline-faturasi-kabaran-musteri-istenmeyen-gameplus-hizmet-bedeli-iadesi-talebi","Hande","03 Mart 11:41","356","Turkcell Superonline Fiber 5406**72 numaralı internet kullanıcısıyım. Gameplus hizmeti her ay ek 190 TL olarak paketime eklenmiş fakat bunun ne bilgisi verildi ne de kullanımı oldu. 4 ay faturama ek 190TL ödedim. Şubat ve Mart ayı faturası içerisinde bu ek ödeme iptal edilmiştir. En azından sistemde","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Evde Beklenen Hızın Altında İnternet Sorunu","https://www.sikayetvar.com/superonline/superonline-evde-beklenen-hizin-altinda-internet-sorunu","Halil","03 Mart 11:40","365","Evimde 1000 megabitlik internet bağlantım var, ancak bağlandığından beri evime gelen hız kablosuzda 100, arada 200, kablolu bağlantıda ise sadece biraz üstü oluyor. Onlarca şikayetime rağmen sorunum çözülmedi. Evime gönderilen teknik ekip de sorunu çözmeden ayrılıyor ve 'Bu bizimle ilgili bir şey de","...","","","https://files.sikayetvar.com/complaint/2805/28058105/superonline-evde-beklenen-hizin-altinda-internet-sorunu-1_350x350.jpg"
"Superonline 2 Gündür Ekipleri Yönlendirip Bağlantı Sorunumu Çözemedi","https://www.sikayetvar.com/superonline/superonline-2-gundur-ekipleri-yonlendirip-baglanti-sorunumu-cozemedi","Tolgahan","03 Mart 11:22","341","1 Mart günü işten geldiğim zaman modemimde internet ışığının kırmızı yandığını gördüm. Superonline'ı arayıp arıza kaydı yaptırdım ve 24 saat içinde sorunumun çözüleceği iletildi. Şu an 3 Mart Saat 11:01 hala ne bir arayan var ne de eve gelen. Kaç defa tekrar aradım her seferinde aciliyetinizi ekiple","...","#Arıza","https://www.sikayetvar.com/superonline/ariza","https://files.sikayetvar.com/complaint/2805/28058002/superonline-2-gundur-ekipleri-yonlendirip-baglanti-sorunumu-cozemedi-1_350x350.jpg"
"Superonline Arızasının Çözülmemesi, Zor Durumda Bırakmak","https://www.sikayetvar.com/superonline/superonline-arizasinin-cozulmemesi-zor-durumda-birakmak","Adile","03 Mart 10:21","465","Superonline arıza için 'Eskişehir' 2 Mart Cumartesi günü için talep oluşturuldu ve acil olduğu belirtildi. Ancak ne arayan oldu ne de gelen. 3 Mart'ta Pazar günü olduğu için gelinemeyeceği söylendi. Tatil günüyse, sorunun dün çözülmesi gerekiyordu. İki gün boyunca internet ve TV hizmetimiz olmadı. A","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Superbox Mağduriyeti","https://www.sikayetvar.com/superonline/superonline-superbox-magduriyeti-94","Sezgin","03 Mart 10:10","959","Turkcell Superbox satın aldım; fakat bu durumdan memnun kalmadım. İnterneti kullanmaya çalıştığımda, herhangi bir siteyi açmak 1-2 dakika sürüyor. Evde iki adet telefonum var ve bu telefonlarda yazılım programı çalıştırıyorum. Ayda 8 GB internet tüketiyorum ki bu da günlük kullanımımın çok az olduğu","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Superonline İnternet Kesintisi 2 Gündür Düzeltilmiyor","https://www.sikayetvar.com/superonline/superonline-internet-kesintisi-2-gundur-duzeltilmiyor","Ahmet","03 Mart 09:23","455","1 Mart günü saat 15.45 gibi kesilen internetimiz hala gelmedi hemen müdahale edilmesini istiyoruz. İnternetin iz geldikten sonra şikayetçi olabilirsiniz gibi saçma bir şeyler söylediler. Abone no 75015049. Durum hemen çözülmez ise hiçbir taahhüt ödemeden aboneliğimi iptal edeceğim.","","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Aboneliğim Olmadığı Halde, Turkcell Superonline Fatura Maili Geldi","https://www.sikayetvar.com/superonline/aboneligim-olmadigi-halde-turkcell-superonline-fatura-maili-geldi","Serhat","03 Mart 07:34","300","Turkcell Superonline paketim olmamasına rağmen tarafıma fatura maili gelmektedir. Mailde belirtilen fatura numarası ""SOL2024005062106"" şeklindedir. Son ödeme tarihi 11.03.2024 olarak belirtilen faturaya ait tutar 4,06 TL'dir. Bu sorunun giderilmesi husunda yardımlarınızı rice ederim.","","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Turkcell Superonline 66 TL Yerine 1000 TL Fatura Yansıtmış","https://www.sikayetvar.com/superonline/turkcell-superonline-66-tl-yerine-1000-tl-fatura-yansitmis","Menekşe","03 Mart 05:00","256","Turkcell ev interneti fiyatı 66 TL'den aniden 1000 TL'ye yükseldi. Sözleşmenin bitiminden ne bir mesajla ne de e-posta ile bilgilendirme yapılmadan direkt olarak faturama yansıtılmış. Herhangi bir fatura aşım durdurma işlemi de bulunmuyor. Fatura aşımı hakkında bilgilendirme yapılmadığı için, bilgil","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Turkcell Superonline Cayma Bedelinin Karşılanmaması","https://www.sikayetvar.com/superonline/turkcell-superonline-cayma-bedelinin-karsilanmamasi","Eyyüp","03 Mart 04:55","473","Turkcell Superonline İnternet aboneliği için beni aradılar. Benim evde farklı bir operatör den kardeşim adına kayıtlı İnternet olduğunu söylememe rağmen, müşteri temsilcisi bana, cayma bedelini karşılayacaklarını ilettiler. İnterneti bağladıktan sonra müşteri temsilcisi beni aradı ve cayma bedelini","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Turkcell (Superonline) Cellnet Bayisi Yanlış Bilgi Beyanı Abonelik","https://www.sikayetvar.com/superonline/turkcell-superonline-cellnet-bayisi-yanlis-bilgi-beyani-abonelik","Erhan","03 Mart 03:34","300","Superonline internet abonesiyim. 6 Ocak tarihinde Turkcell'in Cellnet bayisi tarafından arandım. Kullandığım paketin fiyatının yükseleceğini bildirdiler. Ekstra olarak TV+ hizmetini ücretsiz şekilde hediye edeceklerini ve hiçbir ücret talep etmeyeceklerini belirttiler. Bu bilgiyi paylaşınca ben de o","...","","","https://files.sikayetvar.com/complaint/2805/28057142/turkcell-superonline-cellnet-bayisi-yanlis-bilgi-beyani-abonelik-2_350x350.jpg"
"Superonline KVKK İhlali","https://www.sikayetvar.com/superonline/superonline-kvkk-ihlali-2","Betül","03 Mart 02:28","68","Turkcell Superonline fiber hattıma ait fatura adresim bilgim olmadan kişisel verilerime müdahale edilerek tamamen değiştirilmiştir. Ayrıca müşteri hizmetlerini aradığımda bana değiştirildiği söylendi kimim ne şekilde değiştirdiğini söylemedi. Bu konuda acilen cevap bekliyorum. KVKK kapsamında kim be","...","","",""
"Turkcell Superonline İnternet Bağlantı Sorunları!","https://www.sikayetvar.com/superonline/turkcell-superonline-internet-baglanti-sorunlari-1","Kübra","03 Mart 01:04","122","Yıllardır t*** t*** müşterisiydim. Turkcell Superonline'dan fırsat teklifi alınca geçiş yaptım. Ancak bir hafta sonra modemim çalışmamaya başladı ve üç haftadır modem çalışmıyor. Her gün aramama rağmen 'altyapı sorunu var' deniliyor. Ancak sitemizde sadece benim dairemde internet yok. Sürekli tarih","...","","",""
"Superonline İnternetim 12-13 Gündür Yok","https://www.sikayetvar.com/superonline/superonline-internetim-12-13-gundur-yok","Enes","03 Mart 00:52","411","","","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme","https://files.sikayetvar.com/complaint/2805/28056541/1709523091290.9124695d-9c65-4e15-992e-dc557cf98fca_350x350.jpg"
"Superonline İnterneti Arıza Değil Hizmet Dişi Kaldı","https://www.sikayetvar.com/superonline/superonline-interneti-ariza-degil-hizmet-disi-kaldi","Umit","03 Mart 00:38","631","Küçükçekmece Atakent Mahallesi'nde fiber internet üç gündür yok. Herhangi bir açıklama da yapılmıyor. Çağrı merkezini aradığında 'Bir aksamaya, bir sabaha bitecek.' şeklinde bant kaydı dinletiliyor. Superonline'ın bu durumu, neden kesintiye uğradığı ve neden çözülemiyor olduğu konusunda bilgi verilm","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Ve Yeniden Hızlandırma Bedeli Saçmalığı","https://www.sikayetvar.com/superonline/turkcell-ve-yeniden-hizlandirma-bedeli-sacmaligi","Cem","03 Mart 00:26","311","Superonline ödeme gecikmesi halinde yeniden hızlandırma bedeli adı altında yasal olmayan bir bedel talep ediyor. Bu bedel Haziran 2024 itibariyle 160 TL, bu bedelin neye göre belirlendiği, nasıl bir hizmet sunduğu da belirsiz olup bu bedelin tahsil edilmesi haksız kazançtır. Gecikme halinde gecikme","...","","",""
"Turkcell Superonline Rezil Hizmeti Böyle Oluyor Maalesef","https://www.sikayetvar.com/superonline/turkcell-superonline-rezil-hizmeti-boyle-oluyor-maalesef","Ferdi","03 Mart 00:26","351","Turkcell Superonline, yardımcı olmamak için çalışıyor gibi görünüyor. Superonline abonesi oldum. İlk zamanlarda 35 megabit hızında bir hizmet kullanıyordum ve yaklaşık 30 megabit civarında hız alıyordum, bu iyiydi. Ancak sonrasında hız düşmeleri ve bağlantı kopmaları başladı. Sorunu düzelttiklerinde","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Superonline Xdls Hizmet Numarası","https://www.sikayetvar.com/superonline/superonline-xdls-hizmet-numarasi","Furkan","02 Mart 23:46","763","Turkcell Superonline xdsl Hizmet Numaramı vermiyor. Hizmet numaramı öğrenmek istiyorum, bu kadar zor olmamalı. Sorunumun çözülmesini istiyorum. Bir iş","...","","",""
"Superonline 1 Aydır Süren İnternet Arızası Ve Çözümsüzlük","https://www.sikayetvar.com/superonline/superonline-1-aydir-suren-internet-arizasi-ve-cozumsuzluk","Emrah","02 Mart 23:39","174","1 aydır bir arızayı çözemediler. Sürekli 'arızanız çözümlenmiştir' diye mesaj geliyor ama çözümlenen bir şey yok. İşleri güçleri insanları oyalamak. İnterneti kullanmadığım halde fatura yansıtıyorlar ve servis gönderip arızayı çözmüyorlar. Her aradığımda iki gün deniliyor; 1 aydır bu iki günler bitm","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Call Of Duty Modern Warfare 3 Warzone Network Error Hatası Superonline","https://www.sikayetvar.com/superonline/call-of-duty-modern-warfare-3-warzone-network-error-hatasi-superonline","Ömer","02 Mart 23:33","953","Merhaba, yaklaşık olarak Call of Duty Warzone'da 100 saatten fazla oyun sürem var, ancak 2 gün önce bir hata almaya başladım. İki gündür uğraşmama rağmen çözemedim. Ancak internet sağlayıcımı Superonline'dan değiştirip başka bir internete geçince oyun açılıyor. Benim gibi bu hatayı alan iki arkadaşı","...","#Statik IP","https://www.sikayetvar.com/superonline/statik-ip","https://files.sikayetvar.com/complaint/2805/28056027/call-of-duty-modern-warfare-3-warzone-network-error-hatasi-superonline-1_350x350.jpg"
"Superonline Call Of Duty Online Bağlantı Sorunu.","https://www.sikayetvar.com/superonline/superonline-call-of-duty-online-baglanti-sorunu-1","Serdar","02 Mart 23:26","1.070","Turkcell Superonline 500Mbit Fiber internet kullanıcısıyım fakat Call Of Duty oyununu VPN olmadan online oynayamıyorum. Her seferinde müşteri hizmetlerini aramak zorunda kalıyorum modeme güncelleme gönderdiklerini söyleyerek sorunumu geçici olarak çözüyorlar. Fakat son 2 gündür bu da yeterli olmuyo","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet","https://files.sikayetvar.com/complaint/2805/28055973/superonline-call-of-duty-online-baglanti-sorunu-2_350x350.jpg"
"Superonline İnternet Bağlantı Sorunları Ve Fatura Mağduriyeti","https://www.sikayetvar.com/superonline/superonline-internet-baglanti-sorunlari-ve-fatura-magduriyeti","Mert","02 Mart 23:12","389","Turkcell Superonline kullanıcısıyım. Şu anda internetimiz yok. Aradığımda 'kablonuzda sorun var, ekip yönlendiriyoruz' deniliyor. Dışarıdan kontrol edilip gidiliyor. Birkaç kez düzeldi ancak sorun tekrarlanıyor. İç tesisattan kaynaklanıyorsa 300 TL servis ücreti talep ediliyor. Ben elektrik işleriyl","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Turkcell Wi-fi Bağlantı Sorunu","https://www.sikayetvar.com/superonline/turkcell-wi-fi-baglanti-sorunu-3","İrfan","02 Mart 23:12","114","Turkcell Ev interneti kullanıyoruz. Ancak bir süre sonra Wi-Fi bağlantısı kesildi. Müşteri hizmetlerine bilgi verdiğimiz halde teknik ekip dönüş yapacak. Alt yapıda sorun var dediler. Ancak 4 gündür wi-fi bağlantı sorunu yaşıyorum bu sorunumuz ne zaman çözülecek.","","","","https://files.sikayetvar.com/complaint/2805/28055904/turkcell-wi-fi-baglanti-sorunu-1_350x350.jpg"
"Superonline Hız Sorunu Ve Çözümsüzlük","https://www.sikayetvar.com/superonline/superonline-hiz-sorunu-ve-cozumsuzluk-1","Tuğba","02 Mart 22:36","1.059","Turkcell Superonline müşterisiyim. Sözde 25 Mbps hızda İnternet satın almış olmama rağmen ne zaman film izlemeye kalksam donma sorunuyla karşılaşıyorum. Ve en son pes ederek telefonumun internetini kullanıyorum. Konu hakkında müşteri hizmetleriyle daha önce görüştüm. Sorun gözükmediği ancak yine de","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet","https://files.sikayetvar.com/complaint/2805/28055610/superonline-hiz-sorunu-ve-cozumsuzluk-1_350x350.jpg"
"Superonline İnternet Yok Acil Destek","https://www.sikayetvar.com/superonline/superonline-internet-yok-acil-destek","Can","02 Mart 22:09","459","Merhaba, bugün taahhüdümün bittiğini öğrendim ve sözleşmeyi yeniledim. Daha önce 16 Mbps hızında internet kullanıyordum. Bana, 16 Mbps'nin pahalı olduğunu söyleyerek, 24 Mbps internetin avantajlı ve daha hızlı olduğunu ifade ettiler. Ben de bunu kabul ettim. Ancak eve geldiğimde internetin olmadığın","...","","",""
"Superonline İnternet Bağlantı Sorunu Çekmiyor","https://www.sikayetvar.com/superonline/superonline-internet-baglanti-sorunu-cekmiyor","Fatih","02 Mart 22:01","281","Superonline internet bağlantı sorunu. Evimin dışındaki kablo kopuk olduğu için tekrardan evin içine kablo çekmediler ve şu an benim evime çekilmedi. Dışarıdan kötü bir şekilde bağlantı yapıldı. Her yağmur rüzgar ve ufak bir şeyde internet kopuyor bir de Superonline güvenip bağlantı yaptım çekmiyor.","...","","","https://files.sikayetvar.com/complaint/2805/28055352/superonline-internet-baglanti-sorunu-cekmiyor-1_350x350.jpg"
"Superonline ve TV Plus Yanlış Bilgi İle Saf Yerine Koyuldum","https://www.sikayetvar.com/superonline/superonline-ve-tv-plus-yanlis-bilgi-ile-saf-yerine-koyuldum","İlker","02 Mart 21:48","810","Farklı bir operatördeki taahhüdüm bitince Turkcell Superonline kalitesine güvenerek ev internetim için yaklaşık 1 ay önce için yeni başvuru yaptım. Diğer operatörün çekim gücünden memnun olmadığımı özellikle belirterek bulunduğum adreste bana aynı hizmeti vereceklerse bu operatör değişikliğine gerek","...","","",""
"Superonline Fiber Altyapı Çalışması Yaptı Bağlantı Sorunu Büyüdü","https://www.sikayetvar.com/superonline/superonline-fiber-altyapi-calismasi-yapti-baglanti-sorunu-buyudu","Gonca","02 Mart 21:48","843","Bu hafta Superonline tarafından gerçekleştirilen daire içi fiber kablo değişimi sebebiyle, değişim yapılan hemen hemen tüm dairelerde, yönetim ofisi ve yönetim kurulu üyelerimizin evleri de dahil olmak üzere sitede internet hizmeti alınamamaktadır. Bugün arızanın giderilmesi amacıyla teknik ekibe ul","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Fiber İnternette Sorun","https://www.sikayetvar.com/superonline/turkcell-fiber-internette-sorun","Mehmet","02 Mart 21:27","259","Turkcell fiber internet Turkcell Fiber internetle bir aydır sorun yaşıyoruz defalarca müşteri hizmetleri ile görüştüğümüz halde. Servis açıldı. Hiç ki","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Tivibu Paketi Ücret Ödemesi Hakkında","https://www.sikayetvar.com/superonline/turkcell-tivibu-paketi-ucret-odemesi-hakkinda","Abdulkerim","02 Mart 20:40","264","Tivibu ürünü hakkında telefonla ulaşarak bana ürünü anlattılar ve tarifeme herhangi bir ücret yansımayacağını söylediler. Kampanya kapsamında olduğunu belirterek bende kabul ettim; ancak 2 aydır sürekli fatura kesiliyor. Müşteri hizmetleri ile konuştuğumda ise dijital sözleşme olduğunu ve imzamın ol","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme",""
"Superonline Fatura Ve Taahhüt Haksızlığı","https://www.sikayetvar.com/superonline/superonline-fatura-ve-taahhut-haksizligi","Muhammed","02 Mart 20:26","809","Superonline aboneliğimde taahhüt sürem sona erdi. Taahhüt yenilemek için beni yaklaşık 5 aydır her hafta arıyorlar. Daha önce 125 TL olan faturam için aniden 400 TL teklif ettiler. Bu teklifi kabul etmedim. Daha sonra tekrar arayarak ilk 6 ay için 400 TL, sonraki 6 ay için ise 350 TL teklif ettiler.","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme","https://files.sikayetvar.com/complaint/2805/28054602/superonline-fatura-ve-taahhut-haksizligi-1_350x350.jpg"
"Superonline İki Ay Sonra Gelen Fatura Şoku","https://www.sikayetvar.com/superonline/superonline-iki-ay-sonra-gelen-fatura-soku","Ersin","02 Mart 20:19","256","Superonline internet hizmetim için kapatma ücretlerini ödedim ancak hizmeti kapattıktan iki ay sonra bana fatura gönderildi. Taahhüdüm sona erdiği halde, bilgilendirilmeden iki ay boyunca toplamda 700 TL fatura kesildi. Müşteri hizmetlerini aradığımda ise bana inandırıcı olmayan açıklamalar yapıldı.","...","#Fatura Ödeme","https://www.sikayetvar.com/superonline/fatura-odeme","https://files.sikayetvar.com/complaint/2805/28054559/superonline-iki-ay-sonra-gelen-fatura-soku-1_350x350.jpg"
"Turkcell Yazıklar Olsun Turkcell Superonline","https://www.sikayetvar.com/superonline/turkcell-yaziklar-olsun-turkcell-superonline","Kadir","02 Mart 20:19","238","Turkcell Superonline ev internetini 2 sene sorunsuz sıkıntısız kullandım. Taahhüt bitince tekrar yeniledim daha hızlı olduğunu iddaa ettikleri interneti zamlı olarak yeniledim. Ne olduysa taahhüt yeniledikten sonra internetim çekmez oldu. Turkcell'i kaliteli olduğu için tercih ederim, mobil hatlarım","...","","",""
"Superonline İnternet Haksız Kazanç","https://www.sikayetvar.com/superonline/superonline-internet-haksiz-kazanc-1","Bekir","02 Mart 20:12","284","Turkcell Superonline kullanıcısıyım. Superonline'da bir problem oldu. İnternetin yavaşladığını fark ettim. Daha sonra faturasını ödemediğimi fark ettim ancak hemen ödemeyi gerçekleştirdim. Turkcell Superonline, 'Hızlandırma Bedeli' adı altında 160 TL ücret yansıtmış faturama. Faturanın 500 TL'yi geç","...","","","https://files.sikayetvar.com/complaint/2805/28054476/superonline-internet-haksiz-kazanc-1_350x350.jpg"
"Superonline Yeniden Hızlandırma Bedeli Adı Altında Malı Götürüyor","https://www.sikayetvar.com/superonline/superonline-yeniden-hizlandirma-bedeli-adi-altinda-mali-goturuyor","Rıdvan","02 Mart 19:52","300","Superonline, ödeme gecikmesi halinde 'yeniden hızlandırma bedeli' adı altında yasal olmayan bir bedel talep etmektedir. Haziran 2023 itibarıyla bu bedel 79 TL olarak belirlenmiştir. Ancak bu bedelin neye göre belirlendiği ve hangi hizmet karşılığında sunulduğu belirsizdir. Bu durum, bedelin tahsil e","...","","",""
"Superonline İnternet Çekmeme Veya Az Çekme Sorunu","https://www.sikayetvar.com/superonline/superonline-internet-cekmeme-veya-az-cekme-sorunu","Hüsnü","02 Mart 19:46","264","Turkcell Superonline kullanıcısıyım. İnternetim fiber olmasına rağmen evin birçok bölgesinde internet çekmiyor, bir maç dahi izleyemiyorum. Sürekli donuyor, ayda bu kadar para verip de keyifle bir maç dahi izleyemiyorum. Sorunlarımın çözülmesini istiyorum.","","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Bağlantı Sorununu Çözmüyor","https://www.sikayetvar.com/superonline/turkcell-baglanti-sorununu-cozmuyor","Salih","02 Mart 19:40","245","On iki gündür evimde internetim yok; port sorunu yaşıyorum. Evime iki yüz metre uzaklıktaki porta gidip bir kabloyu bağlatamadı Turkcell. Arıyorum, 'Sorununuz 48 saat içinde çözülecek' diyorlar, böyle mesaj geliyor. On iki gün oldu. Kırk sekiz saati bırakın, ben böyle bir şey görmedim.","","","",""
"Superonline İyileştirme Adı Altında Mağduriyet Yaşatmak","https://www.sikayetvar.com/superonline/superonline-iyilestirme-adi-altinda-magduriyet-yasatmak","Zehra","02 Mart 19:39","939","Superonline fiber hattı iyileştirme yapacağız diye küçük bir makine ilave etti. Tam üç kere kırmızı ışık yanarak hata vermesine rağmen gelen elemanlar sorunu çözemediler. Bu kablolar çok hassas diyorlar. Ben iyileştirme istemedim, ama mağduriyeti yaşayan benim, bu arada internet kesikken fatura gönd","...","","",""
