"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","sv-model-button","sv-model-button href","ellipsis-text","large-view src","large-view src 2"
"TurkNet Konuşurken Bağlantı Şikayet","https://www.sikayetvar.com/turknet/turknet-konusurken-baglanti-sikayet","Fatih","10 Kasım 2023 12:52","512","TurkNet'e başvuru yaptım, konuşurken her şeyin ücretsiz olduğu söylendi fakat şimdi kablo ücreti, çeşitli ekstra ücretler talep ediliyor. Bu durumu her yere yazacağım ve aboneliğimi iptal ettim.","","","","",""
"TurkNet Hesabıma Erişemiyorum Ve Muhatap Olacak Birisini İstiyorum","https://www.sikayetvar.com/turknet/turknet-hesabima-erisemiyorum-ve-muhatap-olacak-birisini-istiyorum","Suğde","10 Kasım 2023 12:18","300","TurkNet'e kayıtlı olan hattımı değiştirdim için hesabıma erişemiyorum. Uygulamadaki ""hesabınıza erişemiyor musunuz? "" kısmından talep oluşturdum. Sizinle iletişime geçeceğiz diye bir uyarı geldi fakat kimse iletişime geçmiyor. Yeni numaramı güncelleyemediğim için hesabıma erişemiyorum hiçbir işlemde","","","...","",""
"","","Murat","10 Kasım 2023 12:17","238","","","","","",""
"25 Gündür TurkNet Evime Bir İnternet Bağlayamadı","https://www.sikayetvar.com/turknet/25-gundur-turknet-evime-bir-internet-baglayamadi","Gülçin","10 Kasım 2023 12:16","1.957","TurkNet 3576877 numaralı aboneyim 25-26 Ekim gibi internet başvurusu yaptım fiber bağlanacaktı ekipler geldi adreste fiber yok tamam dedim interneti değiştirelim VDSL başlatalım. Bunu değiştirmeyi 10 günde beceremediler kurulum ücretlerini ödememe rağmen o aboneliği iptal edip yeni VDSL aboneliği b","","","...","",""
"TurkNet Müşteri Hizmetleri Telefonu Açmıyor","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetleri-telefonu-acmiyor-2","Ali","10 Kasım 2023 12:08","234","Müşteri hizmetleriyle görüşemiyoruz, telefonlara cevap verilmiyor. Bir an önce sorunumuzun çözülmesini talep ediyoruz. İnternet firması neden böyle yapıyor anlamıyorum. Bir konu hakkında arıyoruz fakat kimse telefonu açmıyor. Beş defa aradık. Her ay boşuna para ödüyoruz. Eğer telefonlara cevap verme","","","...","",""
"TurkNet Bağlantı Sorunu Yaşıyorum","https://www.sikayetvar.com/turknet/turknet-baglanti-sorunu-yasiyorum-19","Yasin","10 Kasım 2023 11:57","436","Bağlantının ikinci günü olmasına rağmen hala internetim yok. Müşteri hizmetlerine ulaşmak mümkün olmuyor. Bana ilk ulaştıklarında hemen iptal işlemi yaptıracağım.","","","","",""
"Turk Net Saygısızlığı","https://www.sikayetvar.com/turknet/turk-net-saygisizligi","Ahmet","10 Kasım 2023 11:31","288","İki haftadır nakil sürecindeyim ancak hala bir nakil gerçekleşmedi. Bu durum kabul edilemez. 'Biz en iyisiyiz' şeklinde sloganlarınız var fakat şu anda nakil ekipleriniz nerede? İki haftadır bekliyorum ve artık sabrım tükenmek üzere. Nakil işleminin hemen tamamlanmasını talep ediyorum.","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","","",""
"TurkNet Müşteri Hizmetleri Mağduriyeti","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetleri-magduriyeti-3","Zoom","10 Kasım 2023 10:58","395","TurkNet müşteri hizmetlerini 3-4 defa aradığımda müşteri hizmetlerine ısrarla bağlamamaya çalışıyor ve bağlanamadım. Telefonumu TurkNet adına beni arayan numaraların onlara ait olup olmadığını sorgulamak için ama TurkNet sağ olsun cevap vermeyerek müşteri kaybına yol açıyor. Bu durumda TurkNet'le ol","","","...","",""
"TurkNet Bir Türlü Yapılamayan Nakil!","https://www.sikayetvar.com/turknet/turknet-bir-turlu-yapilamayan-nakil-2","Ronya","10 Kasım 2023 10:33","743","27 Ekim'de yeni bir eve taşındım, 28 Ekim'de personelimiz geldi. 'İnterneti tamam, kullanabilirsiniz' dedi ve gitti ama internet yok. Defalarca aradım, arandım sonuç sıfır. Sonunda bir saha ekibi geldi. O da başka bir şey dedi, gitti. Tekrar arandım, 'Biz her şeyi halledeceğiz, merak etmeyin' dendi.","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","",""
"","","İsmet","10 Kasım 2023 09:59","290","","","","","",""
"TurkNet Kullanım Ücreti Peşin Ödeme Adı İle Haksız Kazanç","https://www.sikayetvar.com/turknet/turknet-kullanim-ucreti-pesin-odeme-adi-ile-haksiz-kazanc","Bekir","10 Kasım 2023 09:52","500","Hizmet alımında aylık fatura ücretini peşin alarak hizmetin tamamlanmasının ardından içeride kalan bakiyeyi tarafınıza aktaracağız dediler; ancak olması gerekenin çok altında bir fiyat vererek paranızı elinizden alıyorlar. Defalarca yazmama rağmen müşteri hizmetleri ilgilenmiyor, ayıp TurkNet, çok a","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","",""
"TurkNet Müşteri Temsilcilerine Ulaşamamak","https://www.sikayetvar.com/turknet/turknet-musteri-temsilcilerine-ulasamamak-1","Mustafa","10 Kasım 2023 09:38","412","Maalesef yine TurkNet müşteri temsilcisine ulaşamıyorum. 40 dakikadır şaka değil 40 dakikadır. İlk başta açtılar ve sorunumu duyunca kapattılar daha önceden iptal ettirip tekrar bağlattım ama Türkiye sınırları içerisinde bunlar akıllanmaz marka kötü çalışanları kötü sistemleri kötü!","","","","",""
"TurkNet Fiber İnternet Sorunu","https://www.sikayetvar.com/turknet/turknet-fiber-internet-sorunu-7","Gökhan","10 Kasım 2023 01:41","854","Merhabalar, ben TurkNet mağduru bir vatandaşım. Yaklaşık iki senedir TurkNet internet kullanıyorum. Bu sene dönüşüm yapıldı ve fiber internete geçtim. 28.10.2023 tarihinde geçiş yapıldı. Sadece bir hafta internet kullandım. İki gün önce internetim gitti. Müşteri hizmetlerini arıyorum, arızam olduğun","","","...","",""
"TurkNet Bağlantı Hızı Düşük","https://www.sikayetvar.com/turknet/turknet-baglanti-hizi-dusuk-6","Cansu","10 Kasım 2023 00:38","879","İlk kez eve internet bağlattık keşke TurkNet'ten almasaydık. Bağlayana kadar iyi ilgililer sonrası yok. Sözde 100 megabit ve fiber ama asla alakası yok. Az önce hız testi yaptım yine 45 megabit ama ödeme alırken 100 megabit üstünden alıyorsunuz. 450 TL her ay ödeme alırken iyi ama hizmet sıfır. Müşt","","","...","",""
"TurkNet Kampanyanın Faturaya Yansımama Sorunu","https://www.sikayetvar.com/turknet/turknet-kampanyanin-faturaya-yansimama-sorunu","Bahadır","09 Kasım 2023 23:53","456","İki hafta önce internet aboneliğim bitti ve TurkNet'i aradım. TurkNet yetkilileri bana bir kampanyalarının olduğunu ve ilk 6 ay 299 TL yerine 199 TL ödeyeceğimi bildirdi. Ben de kabul ettim ve TurkNet e geçtim. Fatura tarihim geldiğinde faturaya baktığım zaman 199 TL yerine 299 TL ödeyeceğim yazıyor","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","",""
"TurkNet Gigafiber Müşteri İlgisizliği","https://www.sikayetvar.com/turknet/turknet-gigafiber-musteri-ilgisizligi","Onur","09 Kasım 2023 22:57","1.480","TurkNet 1.5 sene önce apartmana gigafiber altyapısı için kutu çekti, aradan tam 1.5 sene geçmesine rağmen kutu öylece duruyor ve arka sokağımıza kadar gigafiber internet gelmesine rağmen bize getirmiyorlar. 50 defa aradık yazdık ilettik ancak geldiğinde geçersiniz vs diyerek oyalıyorlar. Asla kimse","","","...","https://files.sikayetvar.com/complaint/2681/26810182/turknet-gigafiber-musteri-ilgisizligi-1_350x350.jpg",""
"","","Özgür","09 Kasım 2023 22:44","1.545","","","","","",""
"TurkNet Numara Güncellemesi İçin Müşteri Temsilcisine Ulaşmamak","https://www.sikayetvar.com/turknet/turknet-numara-guncellemesi-icin-musteri-temsilcisine-ulasmamak","Ömer","09 Kasım 2023 22:36","680","Hiçbir şekilde derdimi anlatacak kimse yok. Numaramı güncelleyip arıza kaydı oluşturmak istiyorum, ancak böyle bir seçenek koymamışlar. Yapacak bir şey yok. O sinirle iptal başvurusu yapabildik, hayırlısı. Eğer siz bizimle muhatap olmak istemiyorsanız, müşteri de sizinle muhatap olmaz.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","",""
"TurkNet Hızım Çok Düşük","https://www.sikayetvar.com/turknet/turknet-hizim-cok-dusuk-10","Kyrpton","09 Kasım 2023 22:22","324","Ben TurkNet internet kullanıcısıyım ve 8.11.2023 tarihinden beri internet hizmeti alıyorum. İnterneti aktif ettiğimde, şu anki hız testinde 100 megabit hız alması gerekirken, 25 ile 15 megabit arası bir hız alıyorum. Nasıl çözeceğimi bilmiyorum. Yardımcı olabilecek var mı? Daha önce bu sorunu yaşaya","","","...","https://files.sikayetvar.com/complaint/2680/26809841/turknet-hizim-cok-dusuk-1_350x350.jpg",""
"TurkNet İnternet Hızı Ve Kalitesi","https://www.sikayetvar.com/turknet/turknet-internet-hizi-ve-kalitesi-1","Kürşat","09 Kasım 2023 22:15","1.235","100 Mbps hız karşılığında TurkNet'e abone oldum. 1 ayı geçmiş olmasına 2 farklı destek kaydı oluşturmama rağmen, destek ekipleri müşteriyi sallamıyor, TurkNet'ten bu problemi çözmesini istiyorum. Bunun yanında sık sık internet kesintilerinden bıktık artık. 100 Mbps diye aldığım paket ; önce 30 sonra","#İnternet Paketleri","https://www.sikayetvar.com/turknet/internet-paketleri","...","https://files.sikayetvar.com/complaint/2680/26809792/turknet-internet-hizi-ve-kalitesi-1_350x350.jpg",""
"TurkNet Bir Türlü Bağlayamadılar İnterneti","https://www.sikayetvar.com/turknet/turknet-bir-turlu-baglayamadilar-interneti","Ender","09 Kasım 2023 21:29","2.360","Böyle bir şey görmedim. 'Hat yok' dediler. Türk Telekom'un hattını kullanıyoruz dediler ve süreci başlattık. Türk Telekom'dan geldiler, 'hat yok, kurulum yapamayız' deyip gittiler. Sonra hat çekmek için geldiler. Hat çekiminden sonra arayan soran olmadı. TurkNet'i arıyorum, bana 'Türk Telekom ret ve","","","...","",""
"TurkNet Abonelik Mağduriyeti Yaşadım","https://www.sikayetvar.com/turknet/turknet-abonelik-magduriyeti-yasadim","Bahar","09 Kasım 2023 21:06","715","TurkNet'e başvurmayın derim. Yeni abonelik başvurusu yaptım ve özellikle yaşadığımız mağduriyetin tekrarlanmaması, aktivasyonun ve bağlantının hızlı yapılması için rica ettim. '2-6 iş gününde kesinlikle bağlantınız sağlanır' denildi. Modem hizmetleri olmadığını öğrenince, modem de aldık ve beklemeye","","","...","",""
"TurkNet KOBİ Desteksizliği 7/24","https://www.sikayetvar.com/turknet/turknet-kobi-desteksizligi","Basak","09 Kasım 2023 20:59","677","KOBİ abonesiyim. Her ay kopmalar yaşıyorum ve e-ticaret yapıyorum, 7/24 destek deniliyor. Ancak 20:00'dan sonra karşınızda muhatap bulamıyorsunuz. Online arıza kaydı oluşturulması isteniyor. Şifre güncellemekle uğraşılıyor, sanki bu çok soruna çözüm olacakmış gibi. Birçok aşamadan geçiyor ve kayıt y","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet'e Geçiş Ve İnternet Arızası Sıkıntısı","https://www.sikayetvar.com/turknet/turknete-gecis-ve-internet-arizasi-sikintisi","Eren","09 Kasım 2023 20:44","796","TurkNet ile ilgili çok kötü bir deneyim yaşadım. Daha önce Türk Telekom kullanırken, şimdi TurkNet'e geçiş yaptım ve 2 gündür DNS ile ilgili bir arıza olduğu söylendi; ancak hâlâ evde internetim yok ve mağdur durumdayım. Ödeme zamanı geldiğinde hızlısınız ama arıza durumunda ilgilenmiyorsunuz. İnter","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet İlgisizliği Saygısızlığı","https://www.sikayetvar.com/turknet/turknet-ilgisizligi-saygisizligi","Mehmet","09 Kasım 2023 20:36","272","32734** müşteri numarasıyla TurkNet müşterisiyim. 5 gündür internetimiz kesik ve hiçbir müşteri hizmetleri yardımcı olmuyor. Evimizden çalışıyoruz ve işimizden olma riskimiz var. Ne yardım eden var ne de gün bilgisi verebilen bir şirket. Mağduriyetimiz hiçbir zaman giderilmiyor. Mahkemeye başvuraca","","","...","https://files.sikayetvar.com/complaint/2680/26808695/turknet-ilgisizligi-saygisizligi-1_350x350.jpg",""
"TurkNet Üyelik Ve Hizmet Kalitesiz","https://www.sikayetvar.com/turknet/turknet-uyelik-ve-hizmet-kalitesiz","Yusuf","09 Kasım 2023 20:36","228","İyi akşamlar, TurkNet'e kuzenimi üye yaptırdım ancak 1 haftadır bize dönüş yapmıyorlar. Hem kuzenim hem ben mesaj atmamıza rağmen dönüş yapan olmuyor ve mesajı da kapatmadıklarından dolayı yeni mesaj da atamıyoruz. Acil dönüş yaparlarsa çok sevinirim. Günlerdir bir türlü ulaşamıyoruz.","","","","https://files.sikayetvar.com/complaint/2680/26808691/turknet-uyelik-ve-hizmet-kalitesiz-1_350x350.jpg",""
"TurkNet Abonelik Zorluğu Ve Kesinlikle Üye Olamamak","https://www.sikayetvar.com/turknet/turknet-abonelik-zorlugu-ve-kesinlikle-uye-olamamak","Nilufer","09 Kasım 2023 20:28","357","TurkNet'e abonelik başvurusu yapmak dünyanın en zor işiymiş gibi, kesinlikle başarılı olamıyoruz. Sürekli başka bir yere yönlendiriliyoruz fakat bir sonuç alamıyoruz. Kimse tarafından aranmıyoruz ve biz aradığımızda otomatik çağrı sistemine yönlendirilip çağrımız sonlandırılıyor. Ne yapacağımızı şaş","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet İnternet Problemi Çözülemiyor","https://www.sikayetvar.com/turknet/turknet-internet-problemi-cozulemiyor","Ali","09 Kasım 2023 20:28","316","TürkNet'ten almış olduğum hizmeti yaklaşık altı aydır kullanıyorum; ancak üç gündür internetim yok. Aradığım yetkililer, altyapıda bir sorun olduğunu ve ilgili birimlere aktardıklarını söylüyorlar. Ancak üç gündür internetimi kullanamıyorum. Defalarca aramama rağmen henüz bir problem çözülmedi. Bu n","","","...","",""
"TurkNet'in Müşterileri Hatalı Yönlendirmesi (Gezgin İnterneti)","https://www.sikayetvar.com/turknet/turknetin-musterileri-hatali-yonlendirmesi-gezgin-interneti","Onur","09 Kasım 2023 20:14","3.772","Kullandığım iki farklı TurkNet aboneliğimi (yazlık ve kışlık ev) hizmet dondurma işleminin ücretli hale getirilmesi nedeniyle Gezgin İnternet ile tek abonelikte birleştirmek istedim. İlk olarak iki farklı aboneliğimin birleştirilebileceği bilgisiyle 3-4 gün bekletildikten sonra bunun mümkün olmadığı","","","...","",""
"TurkNet İnternet Kalitesi Çok Düşük","https://www.sikayetvar.com/turknet/turknet-internet-kalitesi-cok-dusuk","Ali","09 Kasım 2023 18:49","811","Fiber internet için ücretsiz eve kablo döşediler, internet daha da yavaşladı. Mobil uygulama üzerinden ve arayarak ulaşmaya çalışıyorum ancak ilgilenen yok. TurkNet hizmetinden memnun kalmadım. Daha önce tanınmadıkları günlerde hemen arayıp sorunu çözüyorlardı, şimdi ise müşteri temsilcisiyle iletiş","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","",""
"TurkNet İnternet Hizmeti Kapanış Sürecinde Yaşanan Sorunlar","https://www.sikayetvar.com/turknet/turknet-internet-hizmeti-kapanis-surecinde-yasanan-sorunlar","Gamze","09 Kasım 2023 18:41","916","TurkNet'ten internet hizmetimi sonlandırmak istedim. İstenilen her şeyi yaptım ve iki modemimi de gönderdim. Ancak bugün bana bir mesaj geldi ve icraya verildiğimi öğrendim. Üstelik, hizmeti fatura tarihinden önce sonlandırmama ve bana geri ödeme yapılmış olmasına rağmen borçlandırıldım. Dört ay boy","","","...","",""
"TurkNet 5 Gündür Genel Arıza Kaynaklı Kesinti","https://www.sikayetvar.com/turknet/turknet-5-gundur-genel-ariza-kaynakli-kesinti","Berkay","09 Kasım 2023 18:25","784","Buca/Adatepe mahallesinde ikamet etmekteyim ve 4 gündür internetimde genel arıza kaynaklı bir sorun yaşanıyor. Her gün müşteri hizmetlerini aramama rağmen 'Ekiplere ilettik, aciliyetini belirttik, telefon numaranızı aldık.' gibi ezberlenmiş ifadeler dışında bir destek alamıyorum. Kimse tarafımdan ge","","","...","",""
"TurkNet Cayma Bedelini Ödemedi","https://www.sikayetvar.com/turknet/turknet-cayma-bedelini-odemedi-1","Ahmet","09 Kasım 2023 17:44","629","TurkNet cayma bedeli için diğer 'alt yapılardaysanız da 240 TL'ye kadarını biz karşılıyoruz.' demesine rağmen yıllık abonelik yaptığımda bu tutarı karşılamadı. Abonelik bittiğinde TurkNet'te kalmaya devam ederseniz ancak o zaman aylık olarak mevcut faturadan düşürülür denildi. Fakat yıllık abonelik","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet 2 Defa Ödeme Aldı İade Etmiyor","https://www.sikayetvar.com/turknet/turknet-2-defa-odeme-aldi-iade-etmiyor","Gökhan","09 Kasım 2023 17:28","528","TurkNet 2 defa ödeme aldı ve inkar ediyor. Arayıp söylememe rağmen önceki ayın çekimi yapılmış diyor ama önceki ayın ödemesi Akbank'tan yapılmış. Bu ay garanti hesabımdan 2 adet çekim yaptım ilki çekilmemiş gibi gözüküyordu. 2. Kere çektim ama hesabımdan baktığımda 2 kere çekilmiş dekont istediler b","","","...","https://files.sikayetvar.com/complaint/2680/26806516/turknet-2-defa-odeme-aldi-iade-etmiyor-2_350x350.jpg","https://files.sikayetvar.com/complaint/2680/26806516/turknet-2-defa-odeme-aldi-iade-etmiyor-1_350x350.jpg"
"","","Umur","09 Kasım 2023 17:28","245","","","","","",""
"TurkNet Sorun Bizde Değil Sizde Diyen Destek Merkezi","https://www.sikayetvar.com/turknet/turknet-sorun-bizde-degil-sizde-diyen-destek-merkezi","Doğukan","09 Kasım 2023 17:00","1.425","Türk Telekom altyapısı ile hizmet veren TurkNet firması sorun kontrolü için kendi ekiplerini bile ücretli yönlendirmeyi teklif etti. Söz de Türk Telekom ekiplerini yönlendirdiler 2 aydır sorunu çözemiyorlar. 2 ay önce sorunu dile getirdim sözleşmede alabileceğim hızın oldukça altında bir hız alıyoru","","","...","https://files.sikayetvar.com/complaint/2680/26806242/turknet-sorun-bizde-degil-sizde-diyen-destek-merkezi-5_350x350.jpg","https://files.sikayetvar.com/complaint/2680/26806242/turknet-sorun-bizde-degil-sizde-diyen-destek-merkezi-7_350x350.jpg"
"TurkNet İnternet Port Bağlantısı","https://www.sikayetvar.com/turknet/turknet-internet-port-baglantisi","Emircan","09 Kasım 2023 16:52","709","Evime internet bağlatmak için TurkNet'e başvuru yaptım daha önceden de evde internet kullanımı mevcuttu. Türk Telekom evimin portunu başka eve vermiş boş Port olmadığından bağlantı yapılamıyor. Arayıp durumu anlattığımda dönüş yapılacaktır deyip konuyu geçiştiriyorlar. Mağduriyetimi acil giderilmesi","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","...","https://files.sikayetvar.com/complaint/2680/26806028/turknet-internet-port-baglantisi-1_350x350.jpg",""
"TurkNet'e Ulaşmak İmkansız Müşteri Hizmetleri Yok!","https://www.sikayetvar.com/turknet/turknete-ulasmak-imkansiz-musteri-hizmetleri-yok","Ege","09 Kasım 2023 16:34","421","TurkNet'in müşteri temsilcileri yok ve kesinlikle iletişime geçemiyorsunuz. Burayla soru sormam gerekiyor ama arayacak birisini bulamadığım, onlar koymadığı için daha doğrusu Türk Telekom'da kalmaya karar verdim. Bunlarla böyle uğraşılmaz. Türk Telekom'dan TurkNet'e geçmek istiyordum ama maalesef on","","","...","",""
"TurkNet Abonelik İşlemleri Hizmetleri Hakkında Altyapı Problemi","https://www.sikayetvar.com/turknet/turknet-abonelik-islemleri-hizmetleri-hakkinda-altyapi-problemi","Alper","09 Kasım 2023 16:23","1.098","Sayın TurkNet Müdürlüğü İstanbul ili Bağcılar ilçesi Merkez mah. 680sk. No:8 yıldız apt. D:10 da ikamet etmekteyim. Binamızın içinde üzerinde bu binada 1000Mbps ye kadar internet var yazan kutunuz bulunmakta ama müşteri hizmetlerinden sorgulatma yaptığımızda altyapı yok gözüktüğü için abonelik alamı","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet İnternet Teknik Destek","https://www.sikayetvar.com/turknet/turknet-internet-teknik-destek-3","Mehmet","09 Kasım 2023 16:22","559","TurkNet fiber internet yaklaşık 2 gündür kablo kaynaklı kesik. Defalarca müşteri hizmetlerini aramama karşılık durumu bildirmemem evden çalışma yaptığımı anlatmama karşın ne arayan var ne soran. Teknik destek sıfır. 2 gündür çalışamamamın zararı nasıl karşılanacak. Hattı iptal edip çevremdekileri de","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","",""
"TurkNet 2 Günlük İnternet Arızası","https://www.sikayetvar.com/turknet/turknet-2-gunluk-internet-arizasi","Fatih","09 Kasım 2023 16:12","932","TurkNet internet kullanıyorum Esenyurt Üçevler Mahallesi'nde 1 gündür internet yok işler aksadı müşteri hizmetlerini aradık yarına kadar da olmayacağını arıza olduğunu söylediler. İstanbul'un en büyük ilçesin de TurkNet 2 günde nasıl arıza gideremez.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","",""
"TurkNet Pişmanlıktır Ucuz Ama Pahalı Patlar","https://www.sikayetvar.com/turknet/turknet-pismanliktir-ucuz-ama-pahali-patlar","Ferhat","09 Kasım 2023 16:12","1.039","TurkNet internet aboneliği pişmanlıktır. İnternet bağlanağı 1 ay olmadan iptal ettirdim. Ücret yansıması olmayacaktı ve modemlerini geri gönderdim aşağıda fotoğrafını ileteceğim ve bana sonrasında herhangi mesaj gelmedi ve bugün ödeme talimatlarıma bakınca 1000 TL'den fazla ücret yansımış ve bana hi","#Modem","https://www.sikayetvar.com/turknet/modem","...","https://files.sikayetvar.com/complaint/2680/26805498/turknet-pismanliktir-ucuz-ama-pahali-patlar-1_350x350.jpg",""
"TurkNet İnternet Kurulumu Yapmıyorlar","https://www.sikayetvar.com/turknet/turknet-internet-kurulumu-yapmiyorlar-1","Yiğit","09 Kasım 2023 15:53","1.387","TurkNet internete 24/10/2023 tarihinde başvurdum ertesi gün onaylandı dendi an itibar ile tarih 9/11/2023 ne bir kurulum ekibi geldi ne bir gelişme yaşandı. Gereğinin yapılmasını arz ediyorum. Bu kadar bekletilmez ki evimde altyapı var odamda fiberkablosu duruyor ama ne hikmetse kurulum ekipleri gel","","","...","https://files.sikayetvar.com/complaint/2680/26805212/turknet-internet-kurulumu-yapmiyorlar-1_350x350.jpg",""
"TurkNet Altyapı Ekibi İnternet Bağlantısını Çözmüyor","https://www.sikayetvar.com/turknet/turknet-altyapi-ekibi-internet-baglantisini-cozmuyor","Mehmet","09 Kasım 2023 15:34","381","Evimde 1 aydır internet bağlantısı yok. Online işlemlerde her yazan özür diliyor, ama sorunumu çözmek için evime altyapı ekibi gönderilmiyor. Bunun çözümü nedir bilmiyorum, ama gerçekten çok mağdur ettiler. Evimde 4 tane öğrencim olduğunu söylediğim halde kimse gelmiyor.","","","","https://files.sikayetvar.com/complaint/2680/26805020/1699558019244.1699558017067879313714705786505_350x350.jpg",""
"TurkNet Hiçbir Şekilde İlgilenmiyor!1 Haftadır İnternet Yok","https://www.sikayetvar.com/turknet/turknet-hicbir-sekilde-ilgilenmiyor1-haftadir-internet-yok","Gamze","09 Kasım 2023 13:53","354","1 haftadır internetim yok arıyoruz açıyorlar derdimizi anlatıyoruz fakat şikayet oluşturduk deyip hiçbir şekilde geri dönüş yapılmıyor. İlgilenilmiyor bağıra çağıra 1 kişi gönderdiler. Oda kabloda sıkıntı var deyip her şeyi ortada bırakıp gitti ve yetmiyormuş gibi sisteme gittik evde yoklardı olarak","","","...","https://files.sikayetvar.com/complaint/2680/26803698/turknet-hicbir-sekilde-ilgilenmiyor1-haftadir-internet-yok-3_350x350.jpg","https://files.sikayetvar.com/complaint/2680/26803698/turknet-hicbir-sekilde-ilgilenmiyor1-haftadir-internet-yok-5_350x350.jpg"
"TurkNet Bağlantı Yok, Cevap Yok Çözüm Beklemede!?","https://www.sikayetvar.com/turknet/turknet-baglanti-yok-cevap-yok-cozum-beklemede","Tolga","09 Kasım 2023 13:35","325","Tam 13 saattir bağlantı probleminin giderilmesini bekliyorum. Ekipler gelecek deniyor. Bizle alakalı değil deniyor. Çağrı merkezi denen bir olay zaten yok. Canları isterse onlar sizi arar. O da geçiştirmekten başka bir şey yapmaz. Parayı kendileri alıp, kötü bir olayda suçu başkasına atarlar. Güzel","","","...","",""
"TurkNet Aboneliğimi İptal Etmiyor","https://www.sikayetvar.com/turknet/turknet-aboneligimi-iptal-etmiyor-100","Ender","09 Kasım 2023 13:28","202","Merhaba, 2020 yılında abonelik yaptığım internetten hizmet alamadığımdan dolayı aynı ay içerisinde aboneliğimi sonlandırmama rağmen sürekli mesaj atarak geçmiş dönemlere ait borcunuz vardır. Mesajları atılmaktadır. Biz borcumuzu kapattığımıza dair firmanızdan teyit almışız. Aboneliğimizi üç sene önc","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet'e Muhatap Bulamıyorsunuz 2 Ayda Fiyat Güncellenmesi Yapılıyor","https://www.sikayetvar.com/turknet/turknete-muhatap-bulamiyorsunuz-2-ayda-fiyat-guncellenmesi-yapiliyor","Derya","09 Kasım 2023 13:27","2.228","TurkNet'te müşteri hizmetlerinde muhatap bulmanız imkansız. 2 ayda bir fiyat güncellenmesi diye aranıyoruz, fiyata zam yapılıyor. Bazı kişiler kişisel verilerimize ulaşıp Digiturk hediyesi adı altında para almaz istiyor. Bu konuyla ilgili müşteri hizmetleri arandığında muhatap bulamıyorsunuz.","","","","",""
"TurkNet'ten Sürekli Erteleme Ve Cevap Alamıyoruz","https://www.sikayetvar.com/turknet/turknetten-surekli-erteleme-ve-cevap-alamiyoruz","Levent","09 Kasım 2023 12:48","1.093","TurkNet hakkında Sürekli Erteleme ve Cevap Alamadığımız Sorunlar Merhaba, Bu platform aracılığıyla yaşadığımız büyük bir sorunu dile getirmek ve hakkımızı aramak istiyoruz. TurkNet tarafından sunulan hizmetten oldukça memnuniyetsiziz ve yaşadığımız sorunları çözmek için adeta muhatap bulamıyoruz.","","","...","",""
"TurkNet Ön Başvurumu İptal Etmek İstiyorum","https://www.sikayetvar.com/turknet/turknet-on-basvurumu-iptal-etmek-istiyorum-1","Mustafa","09 Kasım 2023 12:47","272","Merhabalar 09.11.2023 tarihinde saat 10:00 sularında TurkNet'i ev interneti bağlatmak amacıyla aradım. Ön başvurusunu çok güzel aldılar. Müşteri hizmetlerine bağlanmak istiyorum bağlanamıyorum. Başvurumun iptali için tekrar arıyorum telefona çıkan hanımefendi 2'ye basın 2'ye basın deyip telefonu sur","","","...","",""
"TurkNet İnternet Nakil İşlemi 1 Haftadır Yapılmadı","https://www.sikayetvar.com/turknet/turknet-internet-nakil-islemi-1-haftadir-yapilmadi","Ece","09 Kasım 2023 12:38","528","TurkNet internet nakil işlemi için 4 kasımda evimize geldi. Kablolarda sorun olduğunu söyledi. Arıza kaydı açacağız Telekom'a dediler. Telekom bizi aradı kutuya kadar bir sorun yok bizlik bir şey yok dedi. 1 haftadır ne arayan var ne soran hala internetimiz bağlanmadı, bu isi kim çözecek TurkNet'e g","","","...","",""
"TurkNet Sorunu Bir Türlü Çözemiyor","https://www.sikayetvar.com/turknet/turknet-sorunu-bir-turlu-cozemiyor-1","Resul","09 Kasım 2023 11:58","362","","","","","https://files.sikayetvar.com/complaint/2680/26802220/turknet-sorunu-bir-turlu-cozemiyor-1_350x350.jpg",""
