"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Müşteri Memnuniyetsizliği İçin","Çiğdem","05 Temmuz 22:26","135","","","#Tarife Değişikliği"
"Vodafone-Bilicra Çocuk Akıllı Saati","Rümeysa","05 Temmuz 22:26","91","30.06.2024 tarihinde Ankara-Anatolium Vodafone mağazasından hat üzerine aldığımız Bilicra çocuk akıllı saati kusurlu olmasına rağmen mağazaya gidip bunu bildirdiğimde çalışan arkadaş ne ilgilendi ne bilgi verdi. Saatin hoparlöründen cızırtı geldiğini, hoparlörün patlak gibi olduğunu söylüyorum, bana","...",""
"Vodafone Tarife Süremin Son Günü Diye Teklif Sunmuyor.","Müge","05 Temmuz 22:26","106","Vodafone taahhüdüm bugün bitiyor ve yanımda uygulamasında ki ""geçebileceğim tarifeler"" kısmındaki tüm teklifler bugün yok oldu, geçebileceğiniz tarife","...","#Yanımda"
"Vodafone One Number Ve Diğer Sıkıntılar...","Sertuğ","05 Temmuz 22:25","396","Vodafone dan 30 gün önce One number servisini aktif etmek istedim. Gerekli işlemleri yaptım daha sonra One number aktif olmadı. Müşteri temsilcileri i","...","#eSIM"
"Vodafone'da Aynı/benzer Tarifelerin Farklı Fiyatlandırılması","Uğurcan","05 Temmuz 22:19","100","","","#Taahhüt"
"Vodafone Tehditkar Konuşan Temsilcileri","Emel","05 Temmuz 22:12","44","Vodafone'da bulunan bir hattım var. Tarifenin süresi bitiyormuş. Buna istinaden müşteri temsilcisi tarafıma arama yaptı. Tarife sundu. Nazik bir şekil","...","#Faturalı Tarifeler"
"Vodafone Mobil Hat Şebeke Çekim Sorunu","Servet","05 Temmuz 22:11","411","Vodafone mobil hattım Ankara Keçiören Sancaktepe Mahallesinde hiç çekmiyor çözülmesini talep ediyorum. Turkcell ve Türk Telekom hatları sıkıntısız çekmesine rağmen Vodafone hattı ma kimse ulaşamıyor. Rakım olarak Ankara'nın en yüksek yerlerinden ve bina çevresinde çok miktarda baz istasyonu var.","","#Şebeke"
"Vodafone Bir Türlü Aktif Olamayan Hat","Ali","05 Temmuz 22:05","128","Vodafone faturalı yeni hat başvurusu yaptım 10 gün önce sim kart elime ulaştı 10 gündür hattın açılmasını bekliyorum. Acilsin diye aramadığım konuşmadığım müşteri temsilcisi kalmadı sanırım. Hepsi ya numara verip başından atıyor ya da başka birimden başka birime yönlendiriyor ama çözüm yok açılmıyor","...","#Hat Başvurusu"
"Vodafone Borç Ödeyememe Sorunu","İlayda","05 Temmuz 22:03","69","Bugün annem Vodafone tarafından arandı. Borcu olduğu ve ödenmezse avukatlık sürecine gireceği ile dosya masrafının da borca ekleneceği söylendi. Vodafone yanımda uygulamasından borca baktık ancak ödenecek herhangi bir borç bulunmuyor. Müşteri hizmetlerini aradık fakat maalesef canlı olarak konuşabil","...","#Fatura"
"Vodafone Tarife Değişikliği Sorunu","Aycan","05 Temmuz 21:57","68","06.07.2024 tarihinde bitecek olan tarifem için değişiklik yapmak istediğimde Müşteri temsilcisi geçebileceğim tek tarifenin kullandığım tarife olacağını ve 202TL ödediğim faturamın 395 TL olacağını söyledi. Benim anlamadığım nokta yeni hat taşıyanların 250TL alabildiği tarifeyi ben eski müşteri olar","...","#Tarife Değişikliği"
"Vodafone Geçebileceğim Tarifeler Bulunamadı.","Selim","05 Temmuz 21:57","121","Öğle saatlerinde geçebileceğim tarifeler mevcuttu lakin işim olduğu için ilgilenemedim şu an tekrar kontrol ettiğimde geçebileceğim hiçbir tarife gözü","...","#Tarife Değişikliği"
"Vodafone Faturasıza Geçmek İstediğin Halde Günlerdir Bekletiyorlar.","Melisa","05 Temmuz 21:57","231","Vodafone faturalıdan faturasıza geçiş için müşteri hizmetlerini aradım. Bir sonraki ay da fatura ödememek için diğer ayın son günü aradım fakat bugün 6 gün geçmiş olmasına rağmen hâlâ faturasıza geçmedi hattım. Müşteri hizmetlerine ulaşmak için de çok uğraştım. Şimdi faturasıza bir türlü geçirmedikl","...","#Faturalı Tarifeler"
"Vodafone 12 Aylık Taahhüt 11 Ayda Bitiriliyor","Sevda","05 Temmuz 21:57","71","Vodafone 12 aylık taahhüt 11 ayda bitiriliyor. Vodafone'a numara taşıma yoluyla geçtim, hattım Eylül sonu kullanıma açıldı fakat bugün telefonla aradılar ve taahhüdümün bitmek üzere olduğunu söylediler. Uygulamadan baktığımda 31 Ağustos gözüküyor. Taahhüdüm neden bitiyor? 12 ay olmadan Eylül sonu bi","...","#Taahhüt"
"","Buse","05 Temmuz 22:26","1","","",""
"","Melike","05 Temmuz 22:18","15","","",""
"","Ceyhun","05 Temmuz 22:03","18","","",""
"Vodafone Yurt Dışı Kullanım Adı Altında Mağduriyet Yaratıyor","Hikmet","05 Temmuz 21:50","177","Vodafone yurt dışı konuşma adı altında haksız kazanç elde ediyor. Annem üzerin kayıtlı hattın Haziran faturasında 299 TL yurt dışı konuşma ücreti alındı. Vodafone yanımda uygulamasından detaylara baktığımda böyle bir konuşma olmadığı gözüküyor mağduriyetin bir an önce giderilmesini rica ederim.","","#Yurt Dışı Paketleri"
"Vodafone Hat Kapatmıyor Müşteri Temsilcisine Bağlanılmıyor","Özgül","05 Temmuz 21:44","934","03.07.2024 de Vodafone Kurtköy bayisinde 535***1393 numaralı hattı kapatmak için işlem yaptırdım. Ulaşmaları için numara bırakmama rağmen 24 saat içinde aranacağım söylendi, hem aranmamış hem de telefon kapatılmamış. Bu süreçte oluşacak hiçbir faturayı kabul etmiyorum. Hemen ilgilenilip kapatılması","...","#Hat İptali"
"Vodafone Zoraki Tarife Yükseltme","Ayberk","05 Temmuz 21:43","61","Vodafone da taahhüdüm bitti ve yine her zamanki gibi hep daha üst paketlerden başka seçenek sunulmuyor. Ben daha düşük pakete geçiş yapmak istiyorum ç","...","#Faturalı Tarifeler"
"Vodafone İzinsiz Yapılan İşlem","Ozkan","05 Temmuz 21:43","30","","","#İçerik Servisleri"
"Vodafone Tarife Artışı Hakkında","Ziynet","05 Temmuz 21:43","12","Vodafone kullanıcısıyım tarifem 180 lirayken şu anda 500 lira oldu. Kaç seneden beri Vodafone kullanıyorum ilk defa böyle bir fiyat artışı ile karşılaştım daha uygun fiyatlı bir tarife önermenizi bekliyorum. Konu ile ilgili tarafıma dönerseniz sevinirim. Emin olun benim maaşıma bu oranda bir artış g","...","#Tarife Değişikliği"
"","Mert","05 Temmuz 21:36","23","","",""
"Vodafone Sözleşmeye Uymuyor, 1 Sene Geçmeden Zam Yapıyor","Vedat","05 Temmuz 21:36","163","Vodafone sözünü tutmuyor. Almış olduğum pakette bir senelik taahhüt verdim. Taahhüdümün bitmesine henüz 4 ay varken bana gelen mesajda 500 TL zamlanacağı yazıyor. Ben kendim çıkmak istesem cayma bedeli ödüyorum ama Vodafone canı istediği gibi bana zam yapıyor. Biz neden bir sene sabit fiyat diye fat","...","#Taahhüt"
"Vodafone Şaka Gibi 15 Günde Bir Fatura Yükseltiyor","Halit","05 Temmuz 21:36","63","","","#Fatura"
"Vodafone 360 TL Abonelik Ücreti Olan Hizmete 510 TL Fatura Kesti","Derya","05 Temmuz 21:36","488","360 TL tarife ücreti olan bir hatta 510 TL fatura gönderiyorsunuz. Sebebini sorunca Astroloji servisine üye olmuşsunuz cevabı veriyorsunuz. Üye olduğumu kanıtlayın deyince Yanımda uygulamasını açtırıp servislere baktırdığımızda ""servisi başlat"" yazıyor. Burada servis aktif olsa neden başlat yazsın d","...","#Fatura"
"Vodafone Müşteri Hizmetleri Ulaşamama","Selcuk","05 Temmuz 21:29","91","Günde 50 defa arayan Vodafone biz arayınca ulaşmamız imkansız. Tarifem bitecek diye sürekli aranıyorum ve tarifemi yenilemek ve bilgi almak için ulaşmak mümkün değil. İstanbul havalimanında sürekli olarak bağlantı sorunu yaşandığını iletmemize rağmen son 2 senedir hiçbir gelişme olmamaktadır","","#Faturalı Tarifeler"
"Vodafone 20GB İnternetimi Kullanamıyorum","Salih","05 Temmuz 21:22","71","Hattım Vodafone, 20 GB internetim var ancak kullanamıyorum. 542'yi ve 7000'i arıyorum, bir türlü müşteri hizmetlerine bağlanamıyorum. Hep aynı şeyi söyleyip tekrarlıyorlar. Vodafone Yanımda uygulamasından da sorgulama yapıyorum, mesajlaşıyorum, yine aynı şeyi söylüyor.","","#Yanımda"
"Vodafone Mobil Ödeme İzni Olmadan Faturaya Yansıtılan Ücret","Dursun","05 Temmuz 21:22","131","Vodafone GSM operatörünü 15 yıldır kullanıyorum, lakin artık yolun sonu. Hiçbir şekilde iznim olmadan mobil ödeme özelliği açılmış. Hiç bilgim olmadan","...","#Mobil Ödeme"
"Vodafone Müşteri Temsilcisine Bağlanamama","Gizem","05 Temmuz 21:15","2.302","Sabahtan beri müşteri temsilcisine bağlanmaya çalışıyorum! Lütfen bekleyiniz sesinden başka hiçbir şey duymadım! Telefonum kitlendi PUK kodu lazım defalarca denedim açan yok! Neden? Tobi diye bir yapay zeka ile muhatap ediyorlar onun da kapasitesi yetersiz sürekli yanlış yönlendiriyor! Acil muhatap","...","#Puk Kodu Öğrenme"
"Vodafone Tobisi Çöktü. Yardım Edin","Saltuk","05 Temmuz 21:15","117","Vodafone hatlı telefonumdan SMS gönderemiyorum. Yanımda uygulamasının şifresini de unuttum. Müşteri hizmetlerini arıyorum, Tobi diye bir asistan çıkıyor. Canlı biriyle görüştürmüyor. Ne yaptıysam, hangi tuşa bastıysam olmadı. SMS yollayamıyorum. Yanımda uygulamasından yardımcı olalım diyor. Yanımda'","...","#Yanımda"
"Vodafone Geçebileceğiniz Tarife Bulunamamaktadır Uyarısı Hk.","Gökhan","05 Temmuz 21:14","418","","","#Tarife Değişikliği"
"Vodafone E İcra Bulunmakta","Kürşat","05 Temmuz 21:14","360","Merhabalar, Vodafone'a ait bir icra dosyam mevcut. Borcumu ödedim, dosyam da kapandı ama banka sistemlerinde e-haciz olarak görünmektedir. Kimseye ula","...","#Faturalı Tarifeler"
"Malatya'da Vodafone Şebeke Sorunu","Gs Çelik","05 Temmuz 21:07","287","Vodafone çekim gücü çok düşük internet hizmetinden hiç faydalanmıyorum. Malatya geneli Vodafone çekmiyor. Vodafone de altyapısını düzeltmek için hiç çaba göstermiyorlar kaç defa şikayet ettik hala aynı değişen bir şey yok. Taahhüt olmasa 1 dakika durmam asla. Özellikle hava alanı civarı ve şehir mer","...","#Şebeke"
"Vodafone Haksız Eklenen 135 TL Servis Ücreti","Yunus","05 Temmuz 20:59","372","4 yıldır Vodafone kullanıyorum, böyle bir şey görmedim. Hiçbir paket almadığım halde haksız yere 135 TL servis ücreti faturama eklenmiş. İlgilenilmesini rica ediyorum. Haksız yere sürekli para kesiliyor ve durduk yere zam yapılıyor. Lütfen ilgilenilsin...","","#Aşım Ücreti"
"Vodafone Aldığım Yeni Hat 5 Gündür Aktif Edilmedi!","Tülay","05 Temmuz 20:59","100","Merhaba, pazar günü web üzerinden yeni hat aldım. Hat 5 gün oldu, halen açılmadı. Müşteri hizmetlerini her aradığımda her defasında farklı bilgi verildi ve talep ilerliyoruz dediler. Talep bile açılmamış. Aldığıma bin pişman oldum. Umarım hizmet almadığım günlerin parasını da istemezler.","","#Hat Başvurusu"
"Vodafone Lütfen Bir Çözüm Bulun","Memduh","05 Temmuz 20:59","126","Tarifem 230 TL iken bu ay tarifem ücreti 1050 TL olarak görüntüleniyor. Böyle bir saçmalığı da ilk defa duyuyorum. Bana gelen zam %550, bunu asla kabul etmem, hattı kırarım. Ödememde zaten elde avuçta da bir şey yok. Lütfen en kısa zamanda bu saçmalığa bir çözüm bulmanızı arz ederim.","","#Taahhüt"
"Vodafone Müşteri Limiti Yetersiz Uyarısı","Mustafa","05 Temmuz 20:58","145","Öncelikle müşteri hizmetleri tam bir skandal. Asla bağlanıp derdini anlayamıyorsun. Asıl konuya gelince her ay 1000 küsur tl fatura ödüyorum bana müşteri puanı yetersiz deyip istediğim cihazı faturaya yansıtarak almam engelleniyor. Bu durum çözülmezse başka bir operatöre geçeceğim paramızla rezil ol","...","#Fatura"
"Vodafone Tarife Ücretleri Çk Fazla Eski Müşterilere Değer Vermiyor","Arif","05 Temmuz 20:51","61","","","#Tarife Değişikliği"
"Vodafone Faturam Çok Yüksek Bir Fiyatta Geliyor Uygun Bir Fatura İstiyorum","Aygül","05 Temmuz 20:51","90","Faturamın fiyatı çok yüksek geliyor. Ben uygun fiyatlı bir fatura istiyorum. Tüm faturalar çok yüksek, bütçemi aşıyor. Uygun fiyatlı yoksa da faturalı","...","#Uyumlu Tarife"
"Vodafone Güvenlik Ve Fatura Sorunu","Didem","05 Temmuz 20:51","69","Bugün fark ettiğim haziran ayına ait Vodafone faturamda 125TL'lik ek bir ücret gördüm. Sözde ben 'Çılgın Kelime Avı' adında bir uygulamayı kabul etmişim. Bana uygulamadan mesaj gelmiş, onay kodu gelmiş ve ben de kabul etmişim. Asla böyle bir oyuna abone olmadım. Ücretin kesinlikle iadesini talep edi","...","#Fatura"
"Vodafone Bilgisiz Çalışanlar Ve Çözümsüz Konular","Murat","05 Temmuz 20:51","28","10 yılı aşkın zamandır Vodafone kullanıcısıyım. Apple Watch Cellular modeli aldım ve Vodafone hattımın bu saat üzerinde kullanılabilir olduğunu söylediler. Ben de onların sözüne güvenerek saati aldım ama sonradan öğrendim ki Vodafone bu özelliği desteklemiyormuş. Boşu boşuna saate para vermiş oldum.","...",""
"Vodafone Hattımı Açmıyorlar Mağdur Ediliyorum","Yaren","05 Temmuz 20:44","61","Hattımı bir hafta önce Turkcell den Vodafone a taşıdım. Taşıma işlemi gerçekleşti mesaj ı gelmesine rağmen servis yoktur diyor bir haftadır Vodafone hattım açılmadı. Hiçbir işimi halledemez kimseyi arayamaz oldum. Vodafone müşteri hizmetlerine mağduriyeti mi anlatmama rağmen rağmen beş gün daha bekl","...","#SMS"
"","Mehmet","05 Temmuz 20:43","272","","",""
"Vodafone Red Sınırsız İnternet","Alparslan","05 Temmuz 20:43","1.018","Ben Vodafone'dan Red Sınırsız İnternet paketi satın aldım. Bu paketin isminden ve tanıtımından anladığım kadarıyla, her koşulda internet erişimimin sınırsız olmasını bekliyordum. Ancak, paket içeriğine dair detayları incelediğimde, hotspot yani mobil internet paylaşımı kullanımının 15 GB ile sınırla","...","#Mobil İnternet"
"Vodafone Haksız Fatura Yansıması","Fatih","05 Temmuz 20:36","120","Vodafone haksız fatura yansıması ve müşteri hizmetlerinin her defasında aynı cümleleri kurarak çözüm bulmaması. 1 Mayıs tarihi itibarıyla Vodafone ek","...","#Ek Paketler"
"Vodafone Tarife Değişikliği Ve Fatura Sorunu","Yakup","05 Temmuz 20:36","130","","","#Tarife Değişikliği"
"","Ebru","05 Temmuz 20:36","147","","",""
"Vodafone Haksız Fatura Göndermek","Hakan","05 Temmuz 20:35","65","Vodafone kadar saçma bir operatör görmedim. Tarifem bitmeden iptal ettim fakat bana yarım fatura göndermiş. Neye istinaden müşteri hizmetlerine ulaşmak mümkün değil. Neden insanların hakkını yiyorsunuz? Bir gün elbet bu firmaların da sonu gelir, elbet. Hakkım helal değil.","","#Fatura"
"Vodafone Adzentre Mobil Ödeme Abonelik İptali Ve İade Talebi","Selami","05 Temmuz 20:29","410","Adzentre mobil ödeme abonelik iptali istiyorum. Faturaya iademi istiyorum. Aylık vergiler dahil 189 TL faturama yansıtılmış iadesini istiyorum. Gereğinin yapılmasını talep ediyorum yoksa Vodafone abonelik kapatacağımı söylüyorum aksi halde suç duyurusu nda bulunacağım.","","#Mobil Ödeme"
"Vodafone Çark Çeviremiyorum Hala","Sara","05 Temmuz 20:28","88","Hattı alalı bayağı oldu Vodafone Yanımda uygulamasına giriş yapıyorum, Çark kısmına geçince ""hesabınız yeni aktif edildiği için giriş bilgileriniz doğrulama aşamasında 2 gün sonra deneyiniz"" diyor. Bunu düzeltin artık ya bu hattı aldığıma pişman oldum","","#Yanımda"
"Vodafone Daha Ucuza Bir Tarife İstiyorum","Cemre","05 Temmuz 20:28","93","Vodafone'da taahhüdüm bitti ve faturam 130 TL öderken 710 TL'ye yükseldi. Yeni tarifeye geçmek istiyorum ancak geçebileceğim fiyatı en düşük tarife 40","...","#Tarife Değişikliği"
"Vodafone 88 TL Faturamı 470 TL'ye Çıkarmış!","Ayşe","05 Temmuz 20:28","111","Vodafone taahhüdüm bitince haber vermeden 88,00 TL lik faturamı 470 TL'ye çıkarmış. Daha düşük tarife de vermiyor. Bu şekilde faturayı kesmiş. Düşüremiyorum. Acil dönüş bekliyorum. Aksi takdirde başka operatöre geçeceğim. Böyle zam olmaz. Böyle artış olmaz bu çok adaletsiz bir durum.","","#Tarife Değişikliği"
"","Bahar","05 Temmuz 20:21","29","","",""
"Vodafone Faturasız Hatta Geçiş","Umit","05 Temmuz 20:14","59","Vodafone faturalı hattımı faturasız hatta çevirmek için 26 /06 /24 tarihinde müşteri hizmetlerine başvuru yaptım. Bana en yakın zamanda taleple ilgili döneceklerini söylediler ve hala dönmediler. Bugün aradığımda bana 300 TL fatura çıkartıp sonra geçebileceğimi söylüyorlar. Kasıtlı olarak iletişim s","...","#Fatura"
"Vodafone Yeni Hat Aldım Hattın Aktif Edilmemesi","Firuze","05 Temmuz 20:13","686","Yeni hat aldım 24,48 saatte gelecek denildi 1 hafta sonra geldi. Şimdi de hattın aktif edilmesini bekliyorum müşteri temsilcisine bir türlü bağlana mıyorum. Sesli sisteme yönlendiriliyor İşlem yapmak istediğim numarayı tuşladığım an görüşme sonlanıyor. Müşteri hizmetlerine ulaşmak bu kadar zor olmam","...","#SIM Kartı"
"Vodafone Taşeron Şirket Mağduriyeti: Yanıltıcı Tarifeler Ve Yüksek Faturalar","Nurettin","05 Temmuz 20:07","366","Vodafone müşteri hizmetleri tarafından Nisan ayında arandım ve bütçe dostu tarifeleri olarak uygun paketleri olduğu, istersem adresime saha elemanı gönderecekleri söylendi. Kabul ettim ve gelen z*** p***** isimli arkadaşla kimlik üzerinden tabletiyle giriş yaparak bütçe dostu 8GB 1000DK 179 TL olara","...","#Faturalı Tarifeler"
"7 Kez Vodafone Aramama Rağmen Muhatap Bulamadım","İskender","05 Temmuz 20:06","81","Vodafone web sitesi üzerinden faturalı hat başvurundan bulundum. Ardından dijitalkurye üzerinden tarafıma mesaj geldi. Randevu saati belirledikten sonra tarafıma aktif teslimat yoktur diye hata verdi. 7 kez müşteri hizmetlerini aramama rağmen muhatap bulamadım. Bayiye gittim şekilde bilgileri yok. T","...","#Hat Başvurusu"
"Vodafone Haksız Faturalandırması","Mesut","05 Temmuz 20:06","526","","","#Mobil Ödeme"
"Vodafone Müşteri Temsilcine Bağlanamama","Yener","05 Temmuz 19:58","149","Telefonum üzerinden yapılan şüpheli bir işlem için acil olarak Vodafone'a ulaşmaya çalışıyorum. Ancak ne Yanımda uygulaması üzerinden ne de 542 üzerinden gerçek bir temsilciye bağlanamıyorum. Böylesine acil bir durumla karşı karşıyayken işi tamamen yarık yamalak bir yapay zeka modeli olan Tobi'ye bı","...","#Yanımda"
"Vodafone Borcuna Yapılandırma İşlemi","Fadime","05 Temmuz 19:51","386","Vodafone, 30bin tl civarı bir borcum var. Müşteri hizmetlerini aradığımda yardımcı olunmuyor. Taksitlendirme istiyorum, yapmıyorlar. Yasal takibe girmek istemiyorum. Yapılandırma yapsanız, aylık olarak ödeyebilirim ama yardımcı olmuyorsunuz. Ben borcumu kapatmak istiyorum. Lütfen bu konu hakkında ya","...","#Borç"
"Vodafone'da Hediye Çarkında Hata Oluştu Sorunu","Sevgi","05 Temmuz 19:43","490","Vodafone'da hediye çarkını çevirirken hata oluştu diyor. Yaklaşık 1 haftadır bu sorunu yaşıyorum. Çarkı çeviriyorum sonra 'hay aksi bir hata oluştu' diyor. Gecen haftanın hediyesi dahi henüz alamadım. Vodafone uygulaması üzerinden de sorunumu belirttim ama bir çözüme ulaşamadım. Lütfen bu sorunu çöz","...","#Hediye Çarkı"
"Vodafone Taahhüt Süresi Bitince Fiyat Artışı","Gülser","05 Temmuz 19:36","190","Vodafone mevcut müşterilerinin internet paketini oldukça yüksek fiyatla devam ettiriyor. Taahhüdüm yeni bitti önceden 137.80 TL fatura ödüyordum, şimdi aynı tarifem 229.30 TL den devam ediyor. Üstelik tarifemde 10 GB paket bir tarife en baz paket. Bana yetiyor ama fiyatların böyle artması çok can sı","...","#Fatura"
"Vodafone Çarkıfelek Umursamazlığı Vodafone X","Efsane","05 Temmuz 19:29","208","Vodafone Çarkıfelek bir şeyler ters gitti sorunu bir türlü düzeltilmiyor. Sürekli aynı şeyi tekrarlıyor. Yanımda uygulamasını kaldırdım, tekrar yükledim ama hata devam ediyor. Sırf ilgilenmedikleri için Vodafone'dan vazgeçiyorum. Turkcell bundan daha iyi. Vodafone kullananlara Allah kolaylık versin.","","#Yanımda"
"Vodafone 4,5 G Uyumlu Sim Kart","Emel","05 Temmuz 19:28","321","Sinop Gerze Atatürk Caddesi üzerinde ki Uğur... Ya ait Vodafone bayisinden yaklaşık 3 yıldır 4,5 g uyumlu sim kartımı ücretsiz alamıyorum. 5 Temmuz tarihine kadar ücretsiz alabilme mesajı geldiği halde. Sanırım ücretsiz hatlar bile torpille veriliyor. Tanıdık birine arattırıldı bugün gelmem söylendi","...","#Fatura"
"Vodafone Bilgilendirme Mesajı Atmaması","Çiğdem","05 Temmuz 19:22","91","Uzun yıllardır Vodafone hat kullanıyorum, 1 yıllık taahhüt sürem dolmuş, bana herhangi bir bilgilendirme mesajı atmadan 269 liralık faturam 780 liraya","...","#Fatura"
"Vodafone Sınırda Askerlik Yaparken Kapanan Hat Ve Hat Açma Bedeli","Ali","05 Temmuz 19:21","292","Vodafone, ben askerlik yaparken kapanan hattım için fatura talep etti. Sınırda askerlik yaptığım süre boyunca Android telefona erişimim olmadığı için hattım kapandığında müdahale edemedim ve faturaları takip edemedim. Şimdi faturayı ödeyeceğim fakat tekrar hat açtırma ücreti olarak 130 küsur TL'yi ö","...","#Fatura"
"Vodafone Hattı Pişmanlığı","Kadir","05 Temmuz 19:20","771","Vodafone çekim sorunu baz istasyonu kuruyorum. Vodafone hattını aldım, pişmanım. En yakın zamanda değiştireceğim. Vodafone eskiden sahalarına önem verirdi, şimdi ise kalitesi aşırı kötü. İnternet hızı 10 Mbps. T** sahaları ise dolu dolu ve kalite sorunu yok. İnternet hızı çok daha iyi, bizzat kendim","...","#Mobil İnternet"
"Vodafone Müşteri Hizmetleri Sorunu","Eda","05 Temmuz 19:20","230","05.04.2024 tarihinde iş yerimde Müsait olmadığı halde Havva Hanım adında bir temsilci tarafından zorla tarife değişikliği yapıldı. Seçeneklerimi tam o","...","#Tarife Değişikliği"
"Vodafone Tarife Zamlarıyla İlgili","Zehra","05 Temmuz 19:13","97","Vodafone operatörü, tarifemin kampanya süresi bittiği için sunduğu yeni tarifeyi %100'den daha fazla zamlı olarak sunuyor. En uygun tarifenin de bu olduğu söyleniyor. 1000 dakika ve 250 SMS kullanmadığımı, daha az dakika ve SMS'siz bir tarife istediğimi belirtmeme rağmen aynı pakette ısrar ediyorlar","...","#Faturalı Tarifeler"
"Vodafone Tarife Fiyatına Fahiş Zam, Paket İçeriğine İndirim Yaptı","Neslihan","05 Temmuz 19:13","253","Uzun süredir Vodafone kullanıcısıyım. Faturalı tarifeme 101 TL ödüyordum. Tarifemin son günü olduğu için müşteri hizmetleri tarafından aranarak 240 TL'ye daha alt paket olan bir tarife teklif edildi. Uyku sersemi olduğum ve tarifemin son günü olduğu için kabul etmek zorunda kaldım. Bu durumun düzelt","...","#Faturalı Tarifeler"
"","Merve","05 Temmuz 19:13","70","","",""
"Vodafone Online Hat Taşıma Mağduriyet","Filiz","05 Temmuz 19:05","436","Online hat taşıdım, hat elime ulaştı fakat açılmadı. Bayiden almadığım söyleniyor. Kurye getirmesine rağmen mağdur oldum. Mağduriyetim giderilmezse dava açacağım. Sizlere yıl 2024, 1 haftadır bekliyorum. Taahhüdüm bitti, sizin yüzünüzden yüksek fatura ödeyeceğim.","","#Numara Taşıma"
"Vodafone Geçişinde Aktivasyon Sorunu","Erdal","05 Temmuz 19:05","148","Başka bir operatörden Vodafone'a geçiş yaptım. Hattım açık gözüküyor ancak aktivasyon yapılmadığı için hattı 4 gündür kullanamıyorum. Müşteri hizmetleri suçu bayiye, bayi müşteri hizmetlerine atıyor. Böyle bir sorun görmedim. İşim gücüm hepsi birbirine girdi, yazıklar olsun!","","#SIM Kartı"
"Vodafone Faturam Haksız Şekilde Yükseltildi","Kenan","05 Temmuz 19:05","82","Üç ay önce Vodafone müşteri hizmetlerinden aranarak, mevcut tarifem bitmek üzere olduğu için yeni tarife sunuldu ve ben kabul ettim. Ancak şimdi gelen","...","#Fatura"
"Vodafone Kuryesi Gelmiyor. Numaramı Taşımaktan Vazgeçtim.","Eyüp","05 Temmuz 18:58","86","Vodafone Kurye sim kart teslimatı yapmıyor. Sabahtan beri evde bekliyorum kurye gelecek diye kimse gelmedi. Tüm vaktim boşa gitti. Ayrıca hiçbir şekilde herhangi bir numaraya ulaşılamıyor. Müşteri hizmetlerini arıyorum buradan halledemeyiz şu numarayı arayın diyorlar. Verdikleri no. Yu arıyorum çalm","...","#SIM Kartı"
"Vodafone Adil Olmayan Tarife Ücret Artışı!","Saliherol","05 Temmuz 18:58","134","","","#Tarife Değişikliği"
"Vodafone Onay Almadan Mobil Ödeme Alması","Salih","05 Temmuz 18:51","240","","","#Mobil Ödeme"
"Vodafone Vpay GB Hediyesi Yalanı Kampanya Eksikliği Cimriliği","Emre","05 Temmuz 18:51","121","Vodafone'dan 26 Aralık tarihinde 20 GB kolay paket satın aldım. Yanında Vpay 2 GB hediyesi vardı kolay pakette. Yaklaşık 10 gün geçmesine rağmen Vpay hediyesi hala gelmedi. Tobi ile müşteri temsilcisine bağlandığımda sorununuz teyit ediliyor, bekleyiniz dendi ve görüşme kendi kendine sonlandı. Temsi","...","#Kolay Paket"
"Vodafone Tarife Fiyatları Faturasıza Geçişte Sorun Çıkarması","Nursel","05 Temmuz 18:43","267","Yaklaşık 14 yıldır Vodafone kullanıcısıyım. Ancak Vodafone'un mevcut müşterilerine asla değer vermediğini bugün anlamış oldum. Mevcut tarifem yarın (06.07.2024)  de dolacak. Müşteri hizmetleri arayıp mevcut kullandığım tarifemi şu an ki ücretin 3 katı karşılığında yenilemek istediler. Oysa faturalı","...","#Faturalı Tarifeler"
"Vodafone Pişmanlık İletişim Kuracak İnsan Yok Robotla Anlaş Anıyoruz","Nazım","05 Temmuz 18:42","76","Yarım saattir Vodafone'u arıyorum, 542 numaradan müşteri hizmetleri ile görüşmek için robottan başka bir şeyle konuşamıyorum. Tobi'ye aktarıyorum falan filan, bu nedir? Acil dönüş bekliyorum. Ben böyle saçmalık görmedim. Konuşacak adam bulamayacak mıyız biz kardeşim?","",""
"Vodafone Numara Taşıma Problemi","Volkan","05 Temmuz 18:42","766","Merhaba. 03.07.2024 tarihinde mevcut operatörümden, Vodafone geçmek için online ile hat numara taşıma müracaatı gerçekleştirdim. Başvurum olumlu sonuçlandı. Kurye firması ile adresime sim kart gönderileceği söylendi. 05.07.2024 tarihinde kargo internet sorgulamasında sim kart teslim edilmediğini gör","...","#Numara Taşıma"
"Vodafone Sıfır Memnuniyet, İş Görmezlik","Esra","05 Temmuz 18:41","394","1 hafta kadar önce tesadüfen girdiğimiz bayide bayan çalışana hat değişikliği yapmak istediğimizi söyledik. Faturalı hat istemediğimizi söyledik lakin faturalı olmazsa hattı değiştiremeyeceklerini söylediler. İlerideki Vodafone bayisine gittik. Böyle bir şeyin olmadığını, 1 dakika içinde değiştirdil","...","#Numara Taşıma"
